,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/20/2016,@ North Carolina,W 10 - 5,10,4,14,35,20,8,16,4,210,"3,600",5,11,22,24,0.917
1,02/27/2016,Princeton,W 11 - 10 (1OT),11,3,14,26,17,15,25,1,30,"3,614",10,15,10,16,0.625
2,03/01/2016,NJIT,W 19 - 4,19/,12/,31/,64/,34,18,27,5,180,"3,600",4,9,17,20,0.850
3,03/05/2016,Georgetown,L 6 - 11,6,3,9,31,21,14,21,2,120,"3,600",11,14,17,20,0.850
4,03/12/2016,Ohio St.,W 8 - 5,8,3,11,36,18,10,17,2,90,"3,600",5,14,11,14,0.786
5,03/15/2016,@ Stony Brook,L 5 - 13,5,1,6,31,16,11,21,4,180,"3,600",13,8,9,10,0.900
6,03/19/2016,@ Providence,L 7 - 12,7,3,10,32,18,12,22,8,420,"3,600",12,7,11,14,0.786
7,03/22/2016,Vermont,W 13 - 12 (1OT),13,7,20,40,25,10,30,9/,420,"3,671",12,14,14,18,0.778
8,03/26/2016,@ St. John's (NY),W 15 - 8,15,6,21,37,23,9,26,2,60,"3,600",8,12,16,17,0.941
9,04/02/2016,Fairfield,L 8 - 9,8,4,12,34,21,11,20,6,270,"3,600",9,16,9,10,0.900
10,04/09/2016,Delaware,W 13 - 7,13,9,22,44,24,14,24,3,150,"3,600",7,7,13,14,0.929
11,04/16/2016,@ Drexel,W 10 - 4,10,4,14,38,20,12,17,4,330,"3,600",4,9,22,24,0.917
12,04/23/2016,@ Massachusetts,W 10 - 9 (1OT),10,6,16,32,23,9,22,3,180,"3,826/",9,12,8,13,0.615
13,04/30/2016,Towson,L 7 - 8,7,3,10,23,16,12,19,3,150,"3,600",8,13,15,19,0.789
14,05/05/2016,"Fairfield @ Towson, Md.",L 8 - 11,8,6,14,37,22,13,22,3,150,"3,600",11,6,11,11,1.000/
