,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,EMOG,MDDG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/09/2016,"

@ Navy 
","
W 12 - 11 (2OT)
","

      
        
          12
        
      
    
","

      
        
          7
        
      
    
","

      
        
          19
        
      
    
","

      
        
          41
        
      
    
","

      
        
          22
        
      
    
","

      
        
          3
        
      
    
","


","

      
        
          28
        
      
    
","

      
        
          14
        
      
    
","

      
        
          3
        
      
    
","

      
        
          14
        
      
    
","

      
        
          24
        
      
    
","

      
        
          3
        
      
    
","

      
        
          150
        
      
    
","


          3,879/
        

","

      
        
          11
        
      
    
","

      
        
          13
        
      
    
"
1,02/20/2016,"

@ Loyola Maryland 
","
L 8 - 9 
","

      
        
          8
        
      
    
","

      
        
          4
        
      
    
","

      
        
          12
        
      
    
","

      
        
          38
        
      
    
","

      
        
          18
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          25
        
      
    
","

      
        
          16
        
      
    
","


","

      
        
          13
        
      
    
","

      
        
          21
        
      
    
","

      
        
          2
        
      
    
","

      
        
          120
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          9
        
      
    
","

      
        
          16
        
      
    
"
2,02/28/2016,"

 North Carolina 
","
L 11 - 15 
","

      
        
          11
        
      
    
","

      
        
          10
        
      
    
","

      
        
          21
        
      
    
","

      
        
          37
        
      
    
","

      
        
          18
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          29
        
      
    
","

      
        
          17
        
      
    
","

      
        
          8
        
      
    
","

      
        
          11
        
      
    
","

      
        
          28
        
      
    
","

      
        
          3
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          15
        
      
    
","

      
        
          8
        
      
    
"
3,03/05/2016,"

 Princeton 
","
W 17 - 7 
","

      
        
          17
        
      
    
","

      
        
          14
        
      
    
","

      
        
          31
        
      
    
","

      
        
          46
        
      
    
","


          37/
        

","


          5/
        

","


","

      
        
          32
        
      
    
","

      
        
          7
        
      
    
","

      
        
          1
        
      
    
","

      
        
          20
        
      
    
","

      
        
          28
        
      
    
","

      
        
          2
        
      
    
","

      
        
          120
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          7
        
      
    
","

      
        
          10
        
      
    
"
4,03/12/2016,"

 Towson 
","
W 14 - 8 
","

      
        
          14
        
      
    
","

      
        
          9
        
      
    
","

      
        
          23
        
      
    
","

      
        
          39
        
      
    
","

      
        
          21
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          33
        
      
    
","

      
        
          12
        
      
    
","

      
        
          4
        
      
    
","

      
        
          14
        
      
    
","

      
        
          25
        
      
    
","

      
        
          1
        
      
    
","

      
        
          60
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          8
        
      
    
","

      
        
          6
        
      
    
"
5,03/19/2016,"

 Syracuse 
","
W 11 - 10 (1OT)
","

      
        
          11
        
      
    
","

      
        
          4
        
      
    
","

      
        
          15
        
      
    
","

      
        
          26
        
      
    
","

      
        
          16
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          18
        
      
    
","

      
        
          14
        
      
    
","

      
        
          8
        
      
    
","

      
        
          11
        
      
    
","

      
        
          24
        
      
    
","

      
        
          2
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,711
        
      
    
","

      
        
          10
        
      
    
","

      
        
          10
        
      
    
"
6,03/27/2016,"

@ Virginia 
","
L 12 - 13 (1OT)
","

      
        
          12
        
      
    
","

      
        
          5
        
      
    
","

      
        
          17
        
      
    
","

      
        
          35
        
      
    
","

      
        
          19
        
      
    
","


","


","

      
        
          24
        
      
    
","

      
        
          7
        
      
    
","

      
        
          2
        
      
    
","

      
        
          10
        
      
    
","

      
        
          28
        
      
    
","


","


","

      
        
          3,619
        
      
    
","

      
        
          13
        
      
    
","

      
        
          9
        
      
    
"
7,03/30/2016,"

@ UMBC 
","
W 19 - 7 
","

      
        
          19
        
      
    
","

      
        
          10
        
      
    
","

      
        
          29
        
      
    
","

      
        
          47
        
      
    
","

      
        
          35
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          40
        
      
    
","

      
        
          14
        
      
    
","

      
        
          5
        
      
    
","

      
        
          21
        
      
    
","

      
        
          29
        
      
    
","

      
        
          2
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          7
        
      
    
","

      
        
          9
        
      
    
"
8,04/02/2016,"

@ Rutgers 
","
L 9 - 16 
","

      
        
          9
        
      
    
","

      
        
          6
        
      
    
","

      
        
          15
        
      
    
","

      
        
          46
        
      
    
","

      
        
          22
        
      
    
","


","


","

      
        
          27
        
      
    
","

      
        
          10
        
      
    
","

      
        
          5
        
      
    
","

      
        
          17
        
      
    
","

      
        
          29
        
      
    
","

      
        
          4
        
      
    
","

      
        
          180
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          16
        
      
    
","

      
        
          12
        
      
    
"
9,04/09/2016,"

 Ohio St. 
","
W 13 - 12 
","

      
        
          13
        
      
    
","

      
        
          5
        
      
    
","

      
        
          18
        
      
    
","

      
        
          31
        
      
    
","

      
        
          21
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          30
        
      
    
","

      
        
          13
        
      
    
","

      
        
          4
        
      
    
","

      
        
          10
        
      
    
","

      
        
          28
        
      
    
","

      
        
          3
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          12
        
      
    
","

      
        
          13
        
      
    
"
