,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/06/2016,@ Bryant,L 3 - 16,3,2,5,21,10,3,23,4,210,"3,600",16,17,18,26,0.692
1,02/12/2016,@ Wagner,L 8 - 15,8,1,9,22,14,14,25,3,120,"3,600",15,11,10,15,0.667
2,02/20/2016,@ Robert Morris,L 6 - 19,6,6,12,27,17,5,29,2,150,"3,600",19,12,11,16,0.688
3,02/27/2016,@ Saint Joseph's,L 9 - 16,9,7,16,34,16,11,30,3,150,"3,600",16,11,10,13,0.769
4,03/05/2016,Hartford,L 4 - 16,4,3,7,20,10,3,24,2,60,"3,600",16,19,14,17,0.824
5,03/08/2016,Delaware,L 5 - 6,5,3,8,18,9,7,15,2,120,"3,600",6,11,17,17,1.000/
6,03/12/2016,@ UMass Lowell,W 8 - 5,8,5,13,27,14,5,17,1,60,"3,600",5,13,19,21,0.905
7,03/14/2016,North Carolina,L 2 - 18,2,1,3,14,4,2,22,8,360,"3,600",18,17,15,24,0.625
8,03/19/2016,Detroit Mercy,L 3 - 9,3,1,4,25,14,4,16,2,120,"3,600",9,8,14,15,0.933
9,03/26/2016,Monmouth,L 5 - 10,5,3,8,26,9,24/,3,10,18,"3,600",10,10,12,16,0.750
10,04/02/2016,@ NJIT,W 14 - 5,14,5,19,31,21,12,22,7,480,"3,600",5,21/,15,24,0.625
11,04/09/2016,@ Canisius,L 11 - 13,11,3,14,29,17,13,27,1,60,"3,600",13,13,16,16,1.000/
12,04/16/2016,@ Marist,W 11 - 10 (1OT),11,6,17,40,25,16,24,2,90,"3,621",10,10,18,19,0.947
13,04/23/2016,Siena,L 11 - 16,11,6,17,36,19,14,31/,4,180,"3,600",16,11,8,11,0.727
14,04/30/2016,@ Quinnipiac,L 3 - 10,3,3,6,25,12,6,17,4,210,"3,600",10,19,15,18,0.833
