,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/06/2016,@ North Carolina,L 10 - 20,10,6,16,25,15,14,34,3,150,"3,600",20,6,8,10,0.800
1,02/14/2016,Colgate,W 9 - 8,9,3,12,28,17,12,19,4,180,"3,600",8,15,15,21,0.714
2,02/20/2016,@ Penn,L 10 - 12,10,3,13,39,22,14,25,5,240,"3,600",12,10,13,14,0.929
3,02/27/2016,"Delaware @ Costa Mesa, Calif.",W 10 - 7,10,7,17,29,20,10,21,5,210,"3,600",7,13,17,17,1.000/
4,03/05/2016,Vermont,W 15 - 13,15,7,22,47,26,17,32,3,210,"3,600",13,17,18,18,1.000/
5,03/12/2016,@ Brown,L 8 - 22,8,3,11,26,16,15,34,5,240,"3,600",22/,17,21,26,0.808
6,03/19/2016,Dartmouth,L 12 - 13,12,7,19,29,21,19,29,2,90,"3,576",13,9,16,19,0.842
7,03/23/2016,Marist,L 6 - 7 (1OT),6,4,10,28,16,10,17,1,60,"3,693",7,14,19,27/,0.704
8,04/02/2016,Maryland,L 7 - 8,7,3,10,41,19,9,18,4,180,"3,598",8,6,12,12,1.000/
9,04/10/2016,@ Rutgers,L 6 - 13,6,4,10,38,19,16,23,4,180,"3,600",13,12,11,13,0.846
10,04/16/2016,@ Ohio St.,L 7 - 10,7,3,10,29,18,8,21,5,300,"3,600",10,19/,17,21,0.810
11,04/23/2016,Johns Hopkins,L 13 - 19,13,7,20,37,20,15,35/,5,240,"3,578",19,13,17,17,1.000/
12,04/30/2016,@ Penn St.,L 9 - 14,9,5,14,45,21,19,26,3,150,"3,600",14,12,13,17,0.765
