,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/06/2016,@ Lehigh,L 4 - 21,4,2,6,14,10,14,26,7,360,"3,600",21,12,9,15,0.600
1,02/16/2016,Vermont,L 5 - 19,5,1,6,31,16,7,27,8,420,"3,600",19,12,18,24,0.750
2,02/20/2016,@ Princeton,L 4 - 21,4,2,6,19,11,13,29,4,210,"3,600",21,6,9,11,0.818
3,02/27/2016,VMI,L 7 - 10,7,7,35,11,24,8,20,3,180,"3,600",10,8,14,17,0.824
4,03/01/2016,@ Hofstra,L 4 - 19,4,2,6,21,13,9,27,8,420,"3,600",19,15,10,16,0.625
5,03/05/2016,@ Quinnipiac,L 7 - 9,7,2,9,32,19,7,20,5,270,"3,600",9,16,15,23,0.652
6,03/08/2016,@ Monmouth,L 5 - 12,5,4,9,24,12,6,20,4,150,"3,600",12,11,14,16,0.875
7,03/13/2016,@ Army West Point,L 6 - 16,6,5,11,26,15,8,26,4,120,"3,600",16,12,16,18,0.889
8,03/18/2016,@ Rutgers,L 3 - 16,3,1,4,16,12,8,22,2,120,"3,600",16,15,11,18,0.611
9,03/22/2016,@ Dartmouth,W 10 - 7,10,7,17,25,15,5,20,5,150,"3,600",7,14,27,28,0.964
10,03/26/2016,@ Wagner,L 8 - 10,8,6,14,22,15,7,22,6,240,"3,600",10,16,15,20,0.750
11,04/02/2016,Manhattan,L 5 - 14,5,2,7,55,26,10,22,9,450,"3,600",14,7,17,19,0.895
12,04/12/2016,Lafayette,L 4 - 12,4,2,6,17,8,7,19,8,510,"3,600",12,16,12,14,0.857
13,04/23/2016,Marist,L 10 - 14,10,6,16,27,14,13,27,2,120,"3,600",14,11,17,21,0.810
14,04/30/2016,@ UMass Lowell,L 6 - 7 (1OT),6,4,10,33,17,11,17,3,150,"3,651",7,17,16,20,0.800
