,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,EMOG,MDDG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/20/2016,"

 NJIT 
","
W 21 - 4 
","

      
        
          21
        
      
    
","

      
        
          15
        
      
    
","

      
        
          36
        
      
    
","

      
        
          42
        
      
    
","

      
        
          27
        
      
    
","

      
        
          3
        
      
    
","


","

      
        
          45
        
      
    
","

      
        
          13
        
      
    
","

      
        
          10
        
      
    
","

      
        
          16
        
      
    
","

      
        
          29
        
      
    
","

      
        
          8
        
      
    
","

      
        
          330
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          4
        
      
    
","

      
        
          7
        
      
    
"
1,02/27/2016,"

@ Hofstra 
","
L 10 - 11 (1OT)
","

      
        
          10
        
      
    
","

      
        
          9
        
      
    
","

      
        
          19
        
      
    
","

      
        
          32
        
      
    
","

      
        
          25
        
      
    
","


","


","

      
        
          28
        
      
    
","

      
        
          13
        
      
    
","

      
        
          9
        
      
    
","

      
        
          10
        
      
    
","

      
        
          25
        
      
    
","

      
        
          1
        
      
    
","

      
        
          60
        
      
    
","

      
        
          3,614
        
      
    
","

      
        
          11
        
      
    
","

      
        
          6
        
      
    
"
2,03/05/2016,"

@ Johns Hopkins 
","
L 7 - 17 
","

      
        
          7
        
      
    
","

      
        
          3
        
      
    
","

      
        
          10
        
      
    
","

      
        
          27
        
      
    
","

      
        
          17
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          14
        
      
    
","

      
        
          9
        
      
    
","

      
        
          3
        
      
    
","

      
        
          8
        
      
    
","

      
        
          28
        
      
    
","

      
        
          6
        
      
    
","

      
        
          270
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          17
        
      
    
","


          20/
        

"
3,03/12/2016,"

 Maryland 
","
L 5 - 17 
","

      
        
          5
        
      
    
","

      
        
          3
        
      
    
","

      
        
          8
        
      
    
","

      
        
          28
        
      
    
","

      
        
          15
        
      
    
","


","


","

      
        
          31
        
      
    
","

      
        
          15
        
      
    
","

      
        
          7
        
      
    
","

      
        
          13
        
      
    
","

      
        
          26
        
      
    
","

      
        
          1
        
      
    
","

      
        
          30
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          17
        
      
    
","

      
        
          8
        
      
    
"
4,03/14/2016,"

 Rutgers 
","
W 10 - 7 
","

      
        
          10
        
      
    
","

      
        
          5
        
      
    
","

      
        
          15
        
      
    
","

      
        
          28
        
      
    
","

      
        
          19
        
      
    
","


","


","

      
        
          31
        
      
    
","

      
        
          13
        
      
    
","

      
        
          10
        
      
    
","

      
        
          8
        
      
    
","

      
        
          21
        
      
    
","

      
        
          5
        
      
    
","

      
        
          240
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          7
        
      
    
","

      
        
          14
        
      
    
"
5,03/19/2016,"

 Penn 
","
L 10 - 20 
","

      
        
          10
        
      
    
","

      
        
          9
        
      
    
","

      
        
          19
        
      
    
","

      
        
          30
        
      
    
","

      
        
          19
        
      
    
","

      
        
          3
        
      
    
","


","

      
        
          27
        
      
    
","

      
        
          13
        
      
    
","

      
        
          6
        
      
    
","

      
        
          19
        
      
    
","

      
        
          33
        
      
    
","

      
        
          4
        
      
    
","

      
        
          180
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          20
        
      
    
","

      
        
          4
        
      
    
"
6,03/26/2016,"

@ Yale 
","
L 10 - 11 
","

      
        
          10
        
      
    
","

      
        
          7
        
      
    
","

      
        
          17
        
      
    
","

      
        
          23
        
      
    
","

      
        
          13
        
      
    
","

      
        
          3
        
      
    
","


","

      
        
          30
        
      
    
","

      
        
          15
        
      
    
","

      
        
          7
        
      
    
","

      
        
          11
        
      
    
","

      
        
          24
        
      
    
","

      
        
          1
        
      
    
","

      
        
          30
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          11
        
      
    
","

      
        
          5
        
      
    
"
7,04/02/2016,"

@ Brown 
","
L 8 - 19 
","

      
        
          8
        
      
    
","

      
        
          7
        
      
    
","

      
        
          15
        
      
    
","

      
        
          36
        
      
    
","

      
        
          22
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          29
        
      
    
","

      
        
          10
        
      
    
","

      
        
          8
        
      
    
","

      
        
          9
        
      
    
","

      
        
          29
        
      
    
","

      
        
          2
        
      
    
","

      
        
          120
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          19
        
      
    
","

      
        
          10
        
      
    
"
8,04/09/2016,"

 Stony Brook 
","
L 10 - 13 
","

      
        
          10
        
      
    
","

      
        
          4
        
      
    
","

      
        
          14
        
      
    
","

      
        
          32
        
      
    
","

      
        
          20
        
      
    
","


","


","

      
        
          35
        
      
    
","

      
        
          9
        
      
    
","

      
        
          10
        
      
    
","

      
        
          19
        
      
    
","

      
        
          27
        
      
    
","

      
        
          4
        
      
    
","

      
        
          180
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          13
        
      
    
","

      
        
          5
        
      
    
"
9,04/12/2016,"

 Lehigh 
","
W 13 - 6 
","

      
        
          13
        
      
    
","

      
        
          7
        
      
    
","

      
        
          20
        
      
    
","

      
        
          28
        
      
    
","

      
        
          18
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          23
        
      
    
","

      
        
          13
        
      
    
","

      
        
          3
        
      
    
","

      
        
          11
        
      
    
","

      
        
          21
        
      
    
","

      
        
          3
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          6
        
      
    
","

      
        
          10
        
      
    
"
