,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/06/2016,@ Boston U.,L 5 - 9,5,4,9,19,11,2,18,5,210,"3,600",9,12,21,27,0.778
1,02/12/2016,Holy Cross,W 12 - 8,12,10,22,31,24,14,24,5,270,"3,600",8,10,25,31/,0.806
2,02/20/2016,Bryant,L 10 - 12,10,6,16,41,26,9,26,2,90,"3,600",12,21/,26/,29,0.897
3,02/27/2016,@ Vermont,W 11 - 8,11,3,14,34,17,12,22,9/,270,"3,600",8,13,22,28,0.786
4,03/05/2016,@ Sacred Heart,W 11 - 8,11,4,15,31,22,9,22,8,360,"3,600",8,10,15,17,0.882
5,03/12/2016,@ High Point,L 12 - 13,12,3,15,40,23,11,28,3,150,"3,600",13,13,17,18,0.944
6,03/19/2016,Hofstra,W 12 - 7,12,8,20,27,19,10,22,7,360,"3,600",7,11,15,21,0.714
7,03/22/2016,UMass Lowell,W 15 - 11,15,12,27,35,21,17,30,1,60,"3,600",11,6,17,19,0.895
8,03/26/2016,Bellarmine,W 9 - 7,9,5,14,30,17,6,18,3,180,"3,600",7,12,20,21,0.952
9,04/02/2016,St. John's (NY),W 15 - 10,15,6,21,43,31,17,29,3,180,"3,600",10,13,17,23,0.739
10,04/09/2016,@ Georgetown,L 5 - 8,5,3,8,29,19,9,17,8,420/,"3,600",8,9,16,19,0.842
11,04/16/2016,@ Marquette,L 7 - 8,7,3,10,30,14,8,18,4,240,"3,600",8,8,13,17,0.765
12,04/19/2016,@ Brown,L 10 - 16,10,5,15,35,20,3,29,6,390,"3,600",16,17,18,22,0.818
13,04/23/2016,Denver,L 7 - 17,7,5,12,43,20,6,26,4,180,"3,600",17,5,12,13,0.923
14,04/30/2016,@ Villanova,L 7 - 14,7,4,11,29,18,13,24,4,180,"3,600",14,13,14,14,1.000/
15,05/05/2016,@ Denver,L 8 - 17,8,2,10,28,13,7,29,4,240,"3,600",17,15,11,13,0.846
