,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/20/2016,Brown,L 7 - 20,7,3,10,42,19,9,28,7,450,"3,600",20/,8,14,15,0.933
1,02/27/2016,@ Bellarmine,W 12 - 6,12,5,17,35,18,15,22,3,120,"3,600",6,9,15,18,0.833
2,03/05/2016,NJIT,W 9 - 7,9,7,16,43,25,13,20,8,360,"3,600",7,12,13,17,0.765
3,03/12/2016,@ Hartford,W 11 - 10 (1OT),11,5,16,40,23,9,25,1,30,"3,697",10,14,17,20,0.850
4,03/19/2016,Marquette,L 5 - 11,5,4,9,26,12,5,19,2,90,"3,580",11,9,20,23,0.870
5,03/22/2016,@ Fairfield,L 7 - 13,7,4,11,31,15,7,24,5,270,"3,600",13,11,18,21,0.857
6,03/26/2016,Siena,W 11 - 6,11,6,17,34,18,16,21,6,360,"3,600",6,14,13,14,0.929
7,04/02/2016,@ Marist,W 8 - 7 (1OT),8,5,13,31,18,19,19,1,30,"3,839",7,13,12,14,0.857
8,04/10/2016,@ Detroit Mercy,W 14 - 4,14,11,25,35,24,7,22,5,300,"3,600",4,13,16,19,0.842
9,04/16/2016,Canisius,W 17 - 9,17/,6,23,46,28,18,30,3,150,"3,600",9,13,12,13,0.923
10,04/23/2016,@ Monmouth,W 8 - 5,8,4,12,35,20,12,16,2,120,"3,600",5,8,11,12,0.917
11,04/30/2016,Manhattan,W 10 - 3,10,5,15,57/,29/,11,17,1,60,"3,600",3,9,16,17,0.941
12,05/05/2016,Canisius,W 13 - 7,13,10,23,36,19,9,22,3,150,"3,600",7,18,17,20,0.850
13,05/07/2016,Marist,W 13 - 9,13,9,22,37,24,20/,26,3,180,"3,600",9,13,14,15,0.933
14,05/11/2016,Hartford,W 14 - 9,14,8,22,27,19,9,27,6,300,"3,600",9,18,17,19,0.895
15,05/15/2016,@ Maryland,L 6 - 13,6,1,7,24,14,6,21,2,90,"3,600",13,10,19,20,0.950
