,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,EMOG,MDDG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/12/2016,"

 St. John's (NY) 
","
W 19 - 11 
","

      
        
          19
        
      
    
","

      
        
          11
        
      
    
","

      
        
          30
        
      
    
","

      
        
          47
        
      
    
","

      
        
          31
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          45
        
      
    
","

      
        
          11
        
      
    
","

      
        
          10
        
      
    
","


          22/
        

","

      
        
          34
        
      
    
","

      
        
          3
        
      
    
","

      
        
          180
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          11
        
      
    
","

      
        
          9
        
      
    
"
1,02/20/2016,"

@ Army West Point 
","
W 13 - 11 
","

      
        
          13
        
      
    
","

      
        
          6
        
      
    
","

      
        
          19
        
      
    
","

      
        
          32
        
      
    
","

      
        
          24
        
      
    
","


","


","

      
        
          33
        
      
    
","

      
        
          11
        
      
    
","

      
        
          6
        
      
    
","

      
        
          9
        
      
    
","

      
        
          28
        
      
    
","

      
        
          4
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          11
        
      
    
","

      
        
          11
        
      
    
"
2,02/27/2016,"

 Fairfield 
","
W 12 - 6 
","

      
        
          12
        
      
    
","

      
        
          9
        
      
    
","

      
        
          21
        
      
    
","

      
        
          45
        
      
    
","

      
        
          23
        
      
    
","

      
        
          1
        
      
    
","


          1/
        

","

      
        
          35
        
      
    
","

      
        
          9
        
      
    
","

      
        
          10
        
      
    
","

      
        
          8
        
      
    
","

      
        
          22
        
      
    
","

      
        
          4
        
      
    
","

      
        
          240
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          6
        
      
    
","

      
        
          10
        
      
    
"
3,03/01/2016,"

@ Wagner 
","
W 15 - 7 
","

      
        
          15
        
      
    
","

      
        
          10
        
      
    
","

      
        
          25
        
      
    
","

      
        
          35
        
      
    
","

      
        
          25
        
      
    
","


","


","

      
        
          37
        
      
    
","

      
        
          15
        
      
    
","


          13/
        

","

      
        
          14
        
      
    
","

      
        
          26
        
      
    
","

      
        
          7
        
      
    
","

      
        
          300
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          7
        
      
    
","

      
        
          13
        
      
    
"
4,03/05/2016,"

@ Monmouth 
","
W 12 - 6 
","

      
        
          12
        
      
    
","

      
        
          7
        
      
    
","

      
        
          19
        
      
    
","

      
        
          41
        
      
    
","

      
        
          24
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          39
        
      
    
","

      
        
          16
        
      
    
","

      
        
          7
        
      
    
","

      
        
          18
        
      
    
","

      
        
          21
        
      
    
","

      
        
          2
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          6
        
      
    
","

      
        
          7
        
      
    
"
5,03/11/2016,"

@ Stony Brook 
","
L 6 - 15 
","

      
        
          6
        
      
    
","

      
        
          4
        
      
    
","

      
        
          10
        
      
    
","

      
        
          34
        
      
    
","

      
        
          16
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          24
        
      
    
","

      
        
          11
        
      
    
","

      
        
          5
        
      
    
","

      
        
          11
        
      
    
","

      
        
          24
        
      
    
","

      
        
          4
        
      
    
","

      
        
          210
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          15
        
      
    
","

      
        
          12
        
      
    
"
6,03/14/2016,"

@ Princeton 
","
L 7 - 10 
","

      
        
          7
        
      
    
","

      
        
          4
        
      
    
","

      
        
          11
        
      
    
","

      
        
          41
        
      
    
","

      
        
          21
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          40
        
      
    
","

      
        
          12
        
      
    
","

      
        
          7
        
      
    
","

      
        
          13
        
      
    
","

      
        
          21
        
      
    
","

      
        
          4
        
      
    
","

      
        
          180
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          10
        
      
    
","

      
        
          9
        
      
    
"
7,03/18/2016,"

 NJIT 
","
W 16 - 3 
","

      
        
          16
        
      
    
","

      
        
          9
        
      
    
","

      
        
          25
        
      
    
","

      
        
          52
        
      
    
","

      
        
          31
        
      
    
","


","


","

      
        
          36
        
      
    
","

      
        
          10
        
      
    
","

      
        
          8
        
      
    
","

      
        
          14
        
      
    
","

      
        
          22
        
      
    
","

      
        
          2
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          3
        
      
    
","

      
        
          9
        
      
    
"
8,03/26/2016,"

 Delaware 
","
W 15 - 11 
","

      
        
          15
        
      
    
","

      
        
          8
        
      
    
","

      
        
          23
        
      
    
","

      
        
          47
        
      
    
","

      
        
          32
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          36
        
      
    
","

      
        
          8
        
      
    
","

      
        
          7
        
      
    
","

      
        
          17
        
      
    
","

      
        
          30
        
      
    
","

      
        
          2
        
      
    
","

      
        
          120
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          11
        
      
    
","

      
        
          9
        
      
    
"
9,04/02/2016,"

 Johns Hopkins 
","
W 16 - 9 
","

      
        
          16
        
      
    
","

      
        
          13
        
      
    
","

      
        
          29
        
      
    
","

      
        
          48
        
      
    
","

      
        
          28
        
      
    
","

      
        
          3
        
      
    
","


","

      
        
          30
        
      
    
","

      
        
          9
        
      
    
","

      
        
          4
        
      
    
","

      
        
          12
        
      
    
","

      
        
          29
        
      
    
","

      
        
          3
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          9
        
      
    
","

      
        
          13
        
      
    
"
10,04/10/2016,"

 Michigan 
","
W 13 - 6 
","

      
        
          13
        
      
    
","

      
        
          5
        
      
    
","

      
        
          18
        
      
    
","

      
        
          42
        
      
    
","

      
        
          25
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          25
        
      
    
","

      
        
          12
        
      
    
","

      
        
          12
        
      
    
","

      
        
          7
        
      
    
","

      
        
          23
        
      
    
","

      
        
          4
        
      
    
","

      
        
          180
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          6
        
      
    
","

      
        
          13
        
      
    
"
11,04/16/2016,"

@ Maryland 
","
L 8 - 11 
","

      
        
          8
        
      
    
","

      
        
          4
        
      
    
","

      
        
          12
        
      
    
","

      
        
          30
        
      
    
","

      
        
          15
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          19
        
      
    
","

      
        
          12
        
      
    
","

      
        
          3
        
      
    
","

      
        
          8
        
      
    
","

      
        
          23
        
      
    
","


","


","

      
        
          3,600
        
      
    
","

      
        
          11
        
      
    
","

      
        
          13
        
      
    
"
12,04/22/2016,"

 Penn St. 
","
W 15 - 14 
","

      
        
          15
        
      
    
","

      
        
          8
        
      
    
","

      
        
          23
        
      
    
","

      
        
          40
        
      
    
","

      
        
          25
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          34
        
      
    
","

      
        
          10
        
      
    
","

      
        
          12
        
      
    
","

      
        
          14
        
      
    
","

      
        
          32
        
      
    
","

      
        
          1
        
      
    
","

      
        
          30
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          14
        
      
    
","

      
        
          8
        
      
    
"
13,04/30/2016,"

@ Ohio St. 
","
L 10 - 12 
","

      
        
          10
        
      
    
","

      
        
          5
        
      
    
","

      
        
          15
        
      
    
","

      
        
          32
        
      
    
","

      
        
          19
        
      
    
","


","


","

      
        
          26
        
      
    
","

      
        
          8
        
      
    
","

      
        
          8
        
      
    
","

      
        
          7
        
      
    
","

      
        
          24
        
      
    
","

      
        
          1
        
      
    
","

      
        
          30
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          12
        
      
    
","

      
        
          7
        
      
    
"
14,05/05/2016,"

@ Johns Hopkins 
","
W 14 - 12 
","

      
        
          14
        
      
    
","

      
        
          11
        
      
    
","

      
        
          25
        
      
    
","

      
        
          34
        
      
    
","

      
        
          23
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          26
        
      
    
","

      
        
          13
        
      
    
","

      
        
          6
        
      
    
","

      
        
          12
        
      
    
","

      
        
          30
        
      
    
","

      
        
          3
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          12
        
      
    
","

      
        
          14
        
      
    
"
15,05/07/2016,"

 Maryland @ Baltimore, MD
","
L 8 - 14 
","

      
        
          8
        
      
    
","

      
        
          7
        
      
    
","

      
        
          15
        
      
    
","

      
        
          38
        
      
    
","

      
        
          24
        
      
    
","


","


","

      
        
          23
        
      
    
","

      
        
          10
        
      
    
","

      
        
          4
        
      
    
","

      
        
          13
        
      
    
","

      
        
          24
        
      
    
","

      
        
          3
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          14
        
      
    
","

      
        
          9
        
      
    
"
