,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,EMOG,MDDG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/13/2016,"

@ Syracuse 
","
L 5 - 18 
","

      
        
          5
        
      
    
","

      
        
          1
        
      
    
","

      
        
          6
        
      
    
","

      
        
          17
        
      
    
","

      
        
          11
        
      
    
","


","


","

      
        
          23
        
      
    
","

      
        
          17
        
      
    
","

      
        
          9
        
      
    
","

      
        
          7
        
      
    
","

      
        
          27
        
      
    
","

      
        
          3
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          18
        
      
    
","

      
        
          5
        
      
    
"
1,02/20/2016,"

 Hobart and William Smith @ Kennesaw, Ga.
","
L 9 - 12 
","

      
        
          9
        
      
    
","

      
        
          4
        
      
    
","

      
        
          13
        
      
    
","

      
        
          37
        
      
    
","

      
        
          18
        
      
    
","


","


","

      
        
          20
        
      
    
","

      
        
          13
        
      
    
","

      
        
          8
        
      
    
","

      
        
          7
        
      
    
","

      
        
          24
        
      
    
","

      
        
          7
        
      
    
","

      
        
          390
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          12
        
      
    
","

      
        
          11
        
      
    
"
2,02/23/2016,"

@ Mercer 
","
L 11 - 12 
","

      
        
          11
        
      
    
","

      
        
          9
        
      
    
","

      
        
          20
        
      
    
","

      
        
          41
        
      
    
","

      
        
          20
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          12
        
      
    
","

      
        
          17
        
      
    
","

      
        
          5
        
      
    
","

      
        
          14
        
      
    
","

      
        
          27
        
      
    
","

      
        
          6
        
      
    
","

      
        
          300
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          12
        
      
    
","

      
        
          8
        
      
    
"
3,02/27/2016,"

 UMass Lowell 
","
W 11 - 7 
","

      
        
          11
        
      
    
","

      
        
          9
        
      
    
","

      
        
          20
        
      
    
","

      
        
          49
        
      
    
","

      
        
          22
        
      
    
","


          3/
        

","


","


          49/
        

","

      
        
          20
        
      
    
","

      
        
          5
        
      
    
","

      
        
          17
        
      
    
","

      
        
          22
        
      
    
","

      
        
          2
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          7
        
      
    
","

      
        
          8
        
      
    
"
4,03/05/2016,"

@ St. John's (NY) 
","
L 9 - 10 
","

      
        
          9
        
      
    
","

      
        
          4
        
      
    
","

      
        
          13
        
      
    
","

      
        
          37
        
      
    
","

      
        
          24
        
      
    
","


","


","

      
        
          28
        
      
    
","

      
        
          10
        
      
    
","

      
        
          7
        
      
    
","

      
        
          9
        
      
    
","

      
        
          23
        
      
    
","

      
        
          3
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          10
        
      
    
","

      
        
          15
        
      
    
"
5,03/19/2016,"

 Canisius 
","
L 9 - 12 
","

      
        
          9
        
      
    
","

      
        
          7
        
      
    
","

      
        
          16
        
      
    
","

      
        
          47
        
      
    
","

      
        
          18
        
      
    
","


          3/
        

","


","

      
        
          28
        
      
    
","

      
        
          6
        
      
    
","

      
        
          5
        
      
    
","

      
        
          9
        
      
    
","

      
        
          24
        
      
    
","

      
        
          2
        
      
    
","

      
        
          120
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          12
        
      
    
","

      
        
          11
        
      
    
"
6,03/26/2016,"

@ Quinnipiac 
","
L 6 - 11 
","

      
        
          6
        
      
    
","

      
        
          5
        
      
    
","

      
        
          11
        
      
    
","

      
        
          38
        
      
    
","

      
        
          20
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          19
        
      
    
","

      
        
          11
        
      
    
","

      
        
          7
        
      
    
","

      
        
          5
        
      
    
","

      
        
          21
        
      
    
","


          11/
        

","

      
        
          510
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          11
        
      
    
","

      
        
          7
        
      
    
"
7,04/02/2016,"

@ Detroit Mercy 
","
W 7 - 6 
","

      
        
          7
        
      
    
","

      
        
          5
        
      
    
","

      
        
          12
        
      
    
","

      
        
          30
        
      
    
","

      
        
          21
        
      
    
","


","


","

      
        
          24
        
      
    
","

      
        
          13
        
      
    
","

      
        
          6
        
      
    
","

      
        
          8
        
      
    
","

      
        
          16
        
      
    
","

      
        
          4
        
      
    
","

      
        
          210
        
      
    
","

      
        
          3,596
        
      
    
","

      
        
          6
        
      
    
","

      
        
          15
        
      
    
"
8,04/09/2016,"

 Marist 
","
L 6 - 12 
","

      
        
          6
        
      
    
","

      
        
          1
        
      
    
","

      
        
          7
        
      
    
","

      
        
          34
        
      
    
","

      
        
          18
        
      
    
","


","


","

      
        
          34
        
      
    
","

      
        
          18
        
      
    
","

      
        
          5
        
      
    
","

      
        
          13
        
      
    
","

      
        
          21
        
      
    
","

      
        
          4
        
      
    
","

      
        
          210
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          12
        
      
    
","

      
        
          11
        
      
    
"
9,04/16/2016,"

@ Hartford 
","
L 4 - 15 
","

      
        
          4
        
      
    
","

      
        
          1
        
      
    
","

      
        
          5
        
      
    
","

      
        
          41
        
      
    
","

      
        
          24
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          21
        
      
    
","

      
        
          10
        
      
    
","

      
        
          6
        
      
    
","

      
        
          12
        
      
    
","

      
        
          23
        
      
    
","

      
        
          2
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          15
        
      
    
","

      
        
          5
        
      
    
"
