,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,EMOG,MDDG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/12/2016,"

@ Rutgers 
","
L 11 - 19 
","

      
        
          11
        
      
    
","

      
        
          7
        
      
    
","

      
        
          18
        
      
    
","

      
        
          32
        
      
    
","

      
        
          20
        
      
    
","

      
        
          3
        
      
    
","


","

      
        
          22
        
      
    
","

      
        
          15
        
      
    
","

      
        
          4
        
      
    
","

      
        
          12
        
      
    
","

      
        
          34
        
      
    
","

      
        
          3
        
      
    
","

      
        
          180
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          19
        
      
    
","

      
        
          12
        
      
    
"
1,02/18/2016,"

 Jacksonville 
","
L 7 - 8 
","

      
        
          7
        
      
    
","

      
        
          5
        
      
    
","

      
        
          12
        
      
    
","

      
        
          37
        
      
    
","

      
        
          23
        
      
    
","


","


","

      
        
          27
        
      
    
","

      
        
          9
        
      
    
","

      
        
          5
        
      
    
","

      
        
          6
        
      
    
","

      
        
          19
        
      
    
","

      
        
          1
        
      
    
","

      
        
          30
        
      
    
","

      
        
          2,700
        
      
    
","

      
        
          8
        
      
    
","

      
        
          9
        
      
    
"
2,02/21/2016,"

@ Stony Brook 
","
L 6 - 14 
","

      
        
          6
        
      
    
","

      
        
          4
        
      
    
","

      
        
          10
        
      
    
","

      
        
          32
        
      
    
","

      
        
          20
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          33
        
      
    
","

      
        
          12
        
      
    
","

      
        
          5
        
      
    
","

      
        
          11
        
      
    
","

      
        
          22
        
      
    
","

      
        
          7
        
      
    
","

      
        
          330
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          14
        
      
    
","

      
        
          12
        
      
    
"
3,03/02/2016,"

@ Saint Joseph's 
","
L 8 - 16 
","

      
        
          8
        
      
    
","

      
        
          7
        
      
    
","

      
        
          15
        
      
    
","

      
        
          31
        
      
    
","

      
        
          20
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          32
        
      
    
","

      
        
          14
        
      
    
","

      
        
          3
        
      
    
","

      
        
          14
        
      
    
","

      
        
          28
        
      
    
","

      
        
          3
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          16
        
      
    
","

      
        
          10
        
      
    
"
4,03/05/2016,"

 Siena 
","
W 10 - 9 
","

      
        
          10
        
      
    
","

      
        
          7
        
      
    
","

      
        
          17
        
      
    
","

      
        
          42
        
      
    
","

      
        
          25
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          27
        
      
    
","

      
        
          12
        
      
    
","

      
        
          5
        
      
    
","

      
        
          14
        
      
    
","

      
        
          23
        
      
    
","

      
        
          1
        
      
    
","

      
        
          60
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          9
        
      
    
","

      
        
          15
        
      
    
"
5,03/08/2016,"

@ Yale 
","
L 8 - 13 
","

      
        
          8
        
      
    
","

      
        
          6
        
      
    
","

      
        
          14
        
      
    
","

      
        
          25
        
      
    
","

      
        
          15
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          23
        
      
    
","

      
        
          15
        
      
    
","

      
        
          6
        
      
    
","

      
        
          12
        
      
    
","

      
        
          24
        
      
    
","

      
        
          2
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          13
        
      
    
","

      
        
          12
        
      
    
"
6,03/12/2016,"

@ Syracuse 
","
L 4 - 15 
","

      
        
          4
        
      
    
","


","

      
        
          4
        
      
    
","

      
        
          15
        
      
    
","

      
        
          8
        
      
    
","


","


","

      
        
          19
        
      
    
","

      
        
          19
        
      
    
","

      
        
          3
        
      
    
","

      
        
          4
        
      
    
","

      
        
          22
        
      
    
","

      
        
          3
        
      
    
","

      
        
          180
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          15
        
      
    
","

      
        
          14
        
      
    
"
7,03/19/2016,"

@ Drexel 
","
L 4 - 13 
","

      
        
          4
        
      
    
","

      
        
          2
        
      
    
","

      
        
          6
        
      
    
","

      
        
          37
        
      
    
","

      
        
          20
        
      
    
","


","


","

      
        
          26
        
      
    
","

      
        
          11
        
      
    
","

      
        
          3
        
      
    
","

      
        
          9
        
      
    
","

      
        
          21
        
      
    
","

      
        
          1
        
      
    
","

      
        
          60
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          13
        
      
    
","

      
        
          14
        
      
    
"
8,03/26/2016,"

 Hofstra 
","
L 8 - 15 
","

      
        
          8
        
      
    
","

      
        
          3
        
      
    
","

      
        
          11
        
      
    
","

      
        
          34
        
      
    
","

      
        
          20
        
      
    
","


","


","

      
        
          27
        
      
    
","

      
        
          11
        
      
    
","

      
        
          4
        
      
    
","

      
        
          17
        
      
    
","

      
        
          26
        
      
    
","

      
        
          3
        
      
    
","

      
        
          120
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          15
        
      
    
","

      
        
          8
        
      
    
"
9,04/02/2016,"

@ Providence 
","
L 10 - 15 
","

      
        
          10
        
      
    
","

      
        
          9
        
      
    
","

      
        
          19
        
      
    
","

      
        
          37
        
      
    
","

      
        
          23
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          28
        
      
    
","

      
        
          16
        
      
    
","

      
        
          5
        
      
    
","

      
        
          12
        
      
    
","

      
        
          29
        
      
    
","

      
        
          1
        
      
    
","

      
        
          60
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          15
        
      
    
","

      
        
          16
        
      
    
"
