,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/20/2016,VMI,W 15 - 5,15,12,27,38,29,18,23,6,240,"3,600",5,10,17,20,0.850
1,02/27/2016,Manhattan,W 16 - 9,16,10,26,31,27,19,30,8/,300,"3,600",9,7,19,21,0.905
2,03/02/2016,St. John's (NY),W 16 - 8,16,7,23,37,26,14,28,4,150,"3,600",8,12,18,18,1.000/
3,03/05/2016,Drexel,L 9 - 10,9,4,13,42,20,18,22,3,150,"3,600",10,9,12,13,0.923
4,03/08/2016,@ Virginia,L 7 - 9,7,4,11,32,15,6,18,3,180,"3,600",9,10,15,19,0.789
5,03/12/2016,@ Monmouth,W 18 - 8,18,9,27,41,27,19,28,6,270,"3,600",8,4,10,10,1.000/
6,03/19/2016,Delaware,W 12 - 7,12,4,16,31,20,11,22,3,120,"3,600",7,14,13,14,0.929
7,03/26/2016,@ Hobart and William Smith,W 13 - 5,13,7,20,35,21,9,21,1,60,"3,600",5,11,21,24,0.875
8,04/02/2016,@ Wagner,W 15 - 6,15,13,28,40,30,21,25,7,330,"3,600",6,9,14,16,0.875
9,04/09/2016,Sacred Heart,W 16 - 6,16,9,25,34,28,16,25,2,90,"3,600",6,17,21,23,0.913
10,04/16/2016,Bryant,W 10 - 9 (1OT),10,5,15,28,21,8,22,2,60,"3,734",9,14,22,24,0.917
11,04/23/2016,@ Robert Morris,L 8 - 13,8,5,13,27,16,14,25,4,150,"3,600",13,9,12,16,0.750
12,04/26/2016,@ Penn,W 9 - 8 (1OT),9,6,15,24,14,14,20,5,240,"3,779",8,7,9,10,0.900
13,04/30/2016,Mt. St. Mary's,W 12 - 5,12,7,19,33,23,15,20,4,120,"3,600",5,13,17,19,0.895
14,05/05/2016,Robert Morris,W 14 - 7,14,6,20,42,23,18,25,2,90,"3,600",7,6,17,18,0.944
15,05/07/2016,Hobart and William Smith,L 7 - 11,7,4,11,30,20,8,21,7,390,"3,600",11,13,15,17,0.882
