,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/20/2016,Richmond,L 5 - 7,5,2,7,24,13,6,16,4,180,"3,600",7,12,13,21,0.619
1,02/26/2016,@ Ohio St.,L 7 - 12,7,5,12,16,13,9,23,2,120,"3,600",12,8,12,13,0.923
2,03/05/2016,@ Towson,L 6 - 14,6,6,12,19,9,8,23,5,210,"3,600",14,11,9,11,0.818
3,03/12/2016,Marist,W 9 - 8 (1OT),9,6,15,39,25,15,10,11,21,"3,606",8,11,14,19,0.737
4,03/19/2016,@ Binghamton,L 10 - 16,10,7,17,28,14,9,30,4,300,"3,600",16,9,13,16,0.812
5,03/26/2016,Stony Brook,L 11 - 14,11,10,21,26,17,10,29,1,60,"3,600",14,7,12,15,0.800
6,03/30/2016,Johns Hopkins,L 7 - 19,7,6,13,28,16,8,29,2,60,"3,600",19/,16,14,15,0.933
7,04/02/2016,@ Lafayette,W 13 - 8,13,8,21,34,22,7,24,3,120,"3,600",8,15,21,25,0.840
8,04/09/2016,Hartford,L 4 - 10,4,2,6,31,15,3,17,2,90,"3,600",10,10,16,16,1.000/
9,04/12/2016,@ Mt. St. Mary's,W 14 - 11,14,8,22,30,19,7,25,4,150,"3,600",11,10,15,15,1.000/
10,04/16/2016,@ Vermont,L 10 - 14,10,8,18,32,19,10,28,4,240,"3,600",14,13,22/,22,1.000/
11,04/19/2016,Penn,L 7 - 8,7,5,12,20,13,5,19,1,30,"3,600",8,16,10,20,0.500
12,04/24/2016,@ UMass Lowell,W 9 - 8 (1OT),9,6,15,25,16,5,21,2,90,"3,630",8,11,14,14,1.000/
13,04/30/2016,Albany (NY),L 14 - 15 (1OT),14,10,24,37,22,7,32,5,240,"3,840",15,11,17,19,0.895
