,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/06/2016,Michigan,W 20 - 10,20/,9,29,43,26,20,34,6,300,"3,600",10,5,13,14,0.929
1,02/13/2016,Furman,W 14 - 6,14,6,20,50,29,15,23,5,270,"3,600",6,9,17,19,0.895
2,02/20/2016,Hofstra,L 5 - 10,5,2,7,25,16,8,16,5,210,"3,600",10,10,16,17,0.941
3,02/28/2016,@ Johns Hopkins,W 15 - 11,15,5,20,40,23,17,28,4,240,"3,600",11,7,16,18,0.889
4,03/05/2016,Denver,L 12 - 13 (1OT),12,8,20,30,18,7,28,4,120,"3,662",13,12,7,11,0.636
5,03/12/2016,@ Massachusetts,L 9 - 14,9,5,14,44,27,17,25,5,240,"3,600",14,7,11,14,0.786
6,03/14/2016,@ Manhattan,W 18 - 2,18,11,29,56,35/,20,22,1,30,"3,600",2,2,9,12,0.750
7,03/19/2016,Richmond,W 15 - 6,15,8,23,42,22,17,23,1,60,"3,600",6,13,12,17,0.706
8,03/26/2016,@ Maryland,L 8 - 11,8,4,12,41,17,13,23,2,90,"3,600",11,7,7,7,1.000/
9,04/01/2016,@ Duke,W 17 - 16 (1OT),17,6,23,47,29,20,35/,3,150,"3,720",16,12,15,18,0.833
10,04/10/2016,Virginia,W 16 - 8,16,6,22,56,28,17,27,1,60,"3,600",8,15,12,14,0.857
11,04/16/2016,@ Syracuse,L 7 - 13,7,4,11,24,16,8,24,3,120,"3,600",13,10,15,19,0.789
12,04/23/2016,Notre Dame,W 17 - 15,17,10,27,45,28,19,35/,6,270,"3,600",15,11,13,14,0.929
13,04/29/2016,"Syracuse @ Kennesaw, Georgia",L 7 - 10,7,6,13,36,21,9,21,4,180,"3,600",10,12,17,20,0.850
14,05/14/2016,@ Marquette,W 10 - 9,10,5,15,37,20,12,21,2,90,"3,600",9,8,14,15,0.933
15,05/22/2016,"Notre Dame @ Columbus, Ohio",W 13 - 9,13,7,20,34,23,17,25,4,180,"3,600",9,14,18,25,0.720
16,05/28/2016,"Loyola Maryland @ Philadelphia, Pa.",W 18 - 13,18,9,27,39,27,8,8,19,35/,"3,600",13,7,10,11,0.909
17,05/30/2016,"Maryland @ Philadelphia, Pa.",W 14 - 13 (1OT),14,7,21,32,23,11,30,5,240,"3,741",13,13,10,15,0.667
