,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/06/2016,@ Jacksonville,L 16 - 17,16,5,21,56,35,18,35,10/,480/,"3,600",17,8,16,17,0.941
1,02/16/2016,@ NJIT,W 19 - 5,19,14,33/,50,31,20,27,5,270,"3,600",5,11,17,21,0.810
2,02/20/2016,@ Holy Cross,W 14 - 8,14,11,25,36,21,9,24,6,300,"3,600",8,17,20,22,0.909
3,02/27/2016,Providence,L 8 - 11,8,2,10,39,16,11,22,3,120,"3,600",11,9,16,20,0.800
4,03/05/2016,@ Michigan,L 13 - 15,13,11,24,47,30,15,32,6,270,"3,600",15,11,15,16,0.938
5,03/08/2016,"Canisius @ Oshawa, Ontario",L 6 - 11,6,1,7,20,12,8,19,9,360,"3,600",11,10,17,20,0.850
6,03/12/2016,Sacred Heart,W 9 - 8 (1OT),9,5,14,31,16,11,19,5,270,"3,725",8,11,21,23,0.913
7,03/22/2016,@ Hofstra,L 12 - 13 (1OT),12,9,21,38,26,20,30,3,180,"3,671",13,12,8,9,0.889
8,03/26/2016,UMass Lowell,W 11 - 9,11,10,21,38,23,11,22,5,210,"3,600",9,11,19,20,0.950
9,03/29/2016,Dartmouth,W 15 - 9,15,14,29,53,34,16,26,5,330,"3,600",9,12,17,17,1.000/
10,04/03/2016,@ Stony Brook,L 10 - 13,10,6,16,32,19,14,27,2,90,"3,600",13,8,17,20,0.850
11,04/09/2016,@ Albany (NY),L 7 - 13,7,6,13,37,21,9,24,1,60,"3,600",13,16,18,24,0.750
12,04/16/2016,UMBC,W 14 - 10,14,11,25,38,27,18,28,2,120,"3,600",10,9,19,20,0.950
13,04/23/2016,@ Hartford,W 13 - 4,13,6,19,44,29,5,21,5,300,"3,600",4,15,21,23,0.913
14,04/30/2016,Binghamton,W 17 - 9,17,8,25,51,29,19,29,5,150,"3,595",9,13,16,18,0.889
15,05/05/2016,"Stony Brook @ Albany, N.Y.",W 10 - 9,10,6,16,29,19,9,22,4,180,"3,600",9,17,17,22,0.773
16,05/07/2016,"Hartford @ Albany, N.Y.",L 16 - 17,16,10,26,40,31,14,36,3,150,"3,600",17,9,19,23,0.826
