,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/20/2016,@ Harvard,L 12 - 13 (1OT),12,1,13,53,31,21,29,5,210,"3,753/",13,11,9,11,0.818
1,02/27/2016,@ Penn St.,W 19 - 9,19,10,29,44,29,26/,32,3,120,"3,600",9,12,8,11,0.727
2,03/01/2016,Drexel,W 14 - 9,14,7,21,54,28,18,26,1,60,"3,600",9,7,16,17,0.941
3,03/05/2016,@ Delaware,W 23 - 13,23/,20/,43/,61/,35/,16,38/,4,210,"3,600",13,3,14,14,1.000/
4,03/12/2016,Penn,W 16 - 8,16,7,23,54,30,18,27,4,180,"3,600",8,6,20,21,0.952
5,03/15/2016,@ Bucknell,W 12 - 8,12,9,21,55,35/,13,24,1,30,"3,600",8,11,17,23,0.739
6,03/26/2016,Fairfield,W 15 - 9,15,12,27,46,28,14,27,5,210,"3,600",9,8,13,14,0.929
7,03/29/2016,Brown,L 8 - 19,8,5,13,47,18,15,30,4,210,"3,600",19,13,12,14,0.857
8,04/02/2016,@ Marquette,L 3 - 11,3,3,6,31,16,5,17,1,60,"3,600",11,12,17,18,0.944
9,04/09/2016,Denver,L 11 - 12,11,7,18,39,27,11,27,2,90,"3,600",12,12,14,16,0.875
10,04/16/2016,Georgetown,W 16 - 4,16,12,28,48,33,16,23,2,60,"3,600",4,9,15,21,0.714
11,04/23/2016,@ St. John's (NY),W 18 - 13,18,14,32,44,28,15,33,1,30,"3,600",13,16,21,22,0.955
12,04/30/2016,Providence,W 14 - 7,14,7,21,44,27,11,24,2,60,"3,600",7,11,16,19,0.842
13,05/05/2016,"Marquette @ Denver, Colo.",L 9 - 14,9,1,10,31,19,13,27,1,60,"3,600",14,4,15,15,1.000/
