,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,EMOG,MDDG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/05/2017,"

@ Duke 
","
W 11 - 10 
","

      
        
          11
        
      
    
","

      
        
          5
        
      
    
","

      
        
          16
        
      
    
","

      
        
          34
        
      
    
","

      
        
          20
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          12
        
      
    
","

      
        
          8
        
      
    
","

      
        
          1
        
      
    
","

      
        
          7
        
      
    
","

      
        
          24
        
      
    
","

      
        
          3
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          10
        
      
    
","

      
        
          14
        
      
    
"
1,02/11/2017,"

@ Denver 
","
L 6 - 14 
","

      
        
          6
        
      
    
","

      
        
          5
        
      
    
","

      
        
          11
        
      
    
","

      
        
          26
        
      
    
","

      
        
          16
        
      
    
","


          3/
        

","


","

      
        
          18
        
      
    
","

      
        
          7
        
      
    
","

      
        
          5
        
      
    
","

      
        
          6
        
      
    
","

      
        
          22
        
      
    
","

      
        
          4
        
      
    
","

      
        
          180
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          14
        
      
    
","

      
        
          9
        
      
    
"
2,02/18/2017,"

 Marist 
","
L 4 - 10 
","

      
        
          4
        
      
    
","

      
        
          4
        
      
    
","

      
        
          8
        
      
    
","

      
        
          38
        
      
    
","

      
        
          20
        
      
    
","


","


","

      
        
          33
        
      
    
","

      
        
          10
        
      
    
","

      
        
          3
        
      
    
","

      
        
          9
        
      
    
","

      
        
          17
        
      
    
","

      
        
          2
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          10
        
      
    
","

      
        
          6
        
      
    
"
3,02/25/2017,"

 Canisius @ Denver, Colo.
","
W 15 - 10 
","

      
        
          15
        
      
    
","

      
        
          6
        
      
    
","

      
        
          21
        
      
    
","

      
        
          42
        
      
    
","

      
        
          22
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          38
        
      
    
","

      
        
          14
        
      
    
","

      
        
          11
        
      
    
","

      
        
          18
        
      
    
","

      
        
          29
        
      
    
","

      
        
          2
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          10
        
      
    
","

      
        
          3
        
      
    
"
4,02/26/2017,"

 Cleveland St. @ Denver, Colo.
","
W 16 - 2 
","

      
        
          16
        
      
    
","

      
        
          7
        
      
    
","

      
        
          23
        
      
    
","

      
        
          42
        
      
    
","

      
        
          26
        
      
    
","


","


","

      
        
          35
        
      
    
","

      
        
          18
        
      
    
","

      
        
          10
        
      
    
","

      
        
          16
        
      
    
","

      
        
          21
        
      
    
","

      
        
          2
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          2
        
      
    
","

      
        
          7
        
      
    
"
5,03/04/2017,"

@ Boston U. 
","
L 6 - 8 
","

      
        
          6
        
      
    
","

      
        
          3
        
      
    
","

      
        
          9
        
      
    
","

      
        
          34
        
      
    
","

      
        
          23
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          32
        
      
    
","

      
        
          15
        
      
    
","

      
        
          8
        
      
    
","

      
        
          11
        
      
    
","

      
        
          18
        
      
    
","

      
        
          2
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          8
        
      
    
","

      
        
          4
        
      
    
"
6,03/11/2017,"

 Detroit Mercy 
","
W 13 - 8 
","

      
        
          13
        
      
    
","

      
        
          10
        
      
    
","

      
        
          23
        
      
    
","

      
        
          51
        
      
    
","

      
        
          24
        
      
    
","


","


","

      
        
          33
        
      
    
","

      
        
          12
        
      
    
","

      
        
          8
        
      
    
","

      
        
          14
        
      
    
","

      
        
          25
        
      
    
","

      
        
          2
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          8
        
      
    
","

      
        
          7
        
      
    
"
7,03/18/2017,"

@ Mercer 
","
W 14 - 6 
","

      
        
          14
        
      
    
","

      
        
          3
        
      
    
","

      
        
          17
        
      
    
","

      
        
          45
        
      
    
","

      
        
          24
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          20
        
      
    
","

      
        
          12
        
      
    
","

      
        
          10
        
      
    
","

      
        
          9
        
      
    
","

      
        
          24
        
      
    
","

      
        
          1
        
      
    
","

      
        
          60
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          6
        
      
    
","

      
        
          4
        
      
    
"
8,03/25/2017,"

 Jacksonville 
","
W 10 - 9 (1OT)
","

      
        
          10
        
      
    
","

      
        
          6
        
      
    
","

      
        
          16
        
      
    
","

      
        
          45
        
      
    
","

      
        
          21
        
      
    
","


","


","

      
        
          26
        
      
    
","

      
        
          11
        
      
    
","

      
        
          5
        
      
    
","

      
        
          13
        
      
    
","

      
        
          21
        
      
    
","

      
        
          4
        
      
    
","

      
        
          180
        
      
    
","


          3,833/
        

","

      
        
          9
        
      
    
","

      
        
          5
        
      
    
"
9,03/28/2017,"

@ Marquette 
","
L 6 - 7 
","

      
        
          6
        
      
    
","

      
        
          2
        
      
    
","

      
        
          8
        
      
    
","

      
        
          19
        
      
    
","

      
        
          12
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          11
        
      
    
","

      
        
          16
        
      
    
","

      
        
          5
        
      
    
","

      
        
          9
        
      
    
","

      
        
          17
        
      
    
","

      
        
          4
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          7
        
      
    
","

      
        
          7
        
      
    
"
10,04/01/2017,"

 Bellarmine 
","
W 20 - 2 
","


          20/
        

","


          15/
        

","


          35/
        

","


          56/
        

","

      
        
          30
        
      
    
","


          3/
        

","


","

      
        
          27
        
      
    
","

      
        
          11
        
      
    
","

      
        
          6
        
      
    
","

      
        
          19
        
      
    
","

      
        
          26
        
      
    
","

      
        
          2
        
      
    
","

      
        
          60
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          2
        
      
    
","

      
        
          5
        
      
    
"
11,04/08/2017,"

@ Furman 
","
L 7 - 8 
","

      
        
          7
        
      
    
","

      
        
          2
        
      
    
","

      
        
          9
        
      
    
","

      
        
          27
        
      
    
","

      
        
          16
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          23
        
      
    
","

      
        
          15
        
      
    
","

      
        
          3
        
      
    
","

      
        
          14
        
      
    
","

      
        
          19
        
      
    
","

      
        
          2
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          8
        
      
    
","

      
        
          5
        
      
    
"
12,04/15/2017,"

@ VMI 
","
W 14 - 4 
","

      
        
          14
        
      
    
","

      
        
          8
        
      
    
","

      
        
          22
        
      
    
","

      
        
          55
        
      
    
","

      
        
          31
        
      
    
","


","


","

      
        
          35
        
      
    
","

      
        
          11
        
      
    
","

      
        
          7
        
      
    
","

      
        
          18
        
      
    
","

      
        
          21
        
      
    
","

      
        
          3
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          4
        
      
    
","

      
        
          5
        
      
    
"
13,04/22/2017,"

 Richmond 
","
W 9 - 7 
","

      
        
          9
        
      
    
","

      
        
          5
        
      
    
","

      
        
          14
        
      
    
","

      
        
          43
        
      
    
","

      
        
          18
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          24
        
      
    
","

      
        
          11
        
      
    
","

      
        
          9
        
      
    
","

      
        
          8
        
      
    
","

      
        
          20
        
      
    
","

      
        
          2
        
      
    
","

      
        
          120
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          7
        
      
    
","

      
        
          5
        
      
    
"
14,04/29/2017,"

@ High Point 
","
W 16 - 11 
","

      
        
          16
        
      
    
","

      
        
          12
        
      
    
","

      
        
          28
        
      
    
","

      
        
          32
        
      
    
","

      
        
          25
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          33
        
      
    
","

      
        
          13
        
      
    
","

      
        
          2
        
      
    
","


          21/
        

","

      
        
          29
        
      
    
","

      
        
          4
        
      
    
","

      
        
          180
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          11
        
      
    
","

      
        
          7
        
      
    
"
15,05/04/2017,"

 Jacksonville @ Richmond, Va.
","
W 11 - 8 
","

      
        
          11
        
      
    
","

      
        
          6
        
      
    
","

      
        
          17
        
      
    
","

      
        
          48
        
      
    
","

      
        
          28
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          33
        
      
    
","

      
        
          11
        
      
    
","

      
        
          10
        
      
    
","

      
        
          12
        
      
    
","

      
        
          23
        
      
    
","

      
        
          3
        
      
    
","

      
        
          120
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          8
        
      
    
","

      
        
          8
        
      
    
"
16,05/06/2017,"

 Richmond 
","
W 9 - 6 
","

      
        
          9
        
      
    
","

      
        
          4
        
      
    
","

      
        
          13
        
      
    
","

      
        
          25
        
      
    
","

      
        
          19
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          26
        
      
    
","

      
        
          14
        
      
    
","

      
        
          9
        
      
    
","

      
        
          9
        
      
    
","

      
        
          19
        
      
    
","

      
        
          7
        
      
    
","

      
        
          330
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          6
        
      
    
","

      
        
          13
        
      
    
"
17,05/13/2017,"

@ Denver 
","
L 10 - 17 
","

      
        
          10
        
      
    
","

      
        
          3
        
      
    
","

      
        
          13
        
      
    
","

      
        
          23
        
      
    
","

      
        
          14
        
      
    
","


","


","

      
        
          19
        
      
    
","

      
        
          10
        
      
    
","

      
        
          4
        
      
    
","

      
        
          8
        
      
    
","

      
        
          31
        
      
    
","


","


","

      
        
          3,600
        
      
    
","

      
        
          17
        
      
    
","

      
        
          10
        
      
    
"
