,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,EMOG,MDDG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/11/2017,"

@ Massachusetts 
","
W 9 - 2 
","

      
        
          9
        
      
    
","

      
        
          3
        
      
    
","

      
        
          12
        
      
    
","

      
        
          35
        
      
    
","

      
        
          21
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          33
        
      
    
","

      
        
          14
        
      
    
","

      
        
          10
        
      
    
","

      
        
          10
        
      
    
","

      
        
          15
        
      
    
","

      
        
          3
        
      
    
","

      
        
          120
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          2
        
      
    
","

      
        
          7
        
      
    
"
1,02/18/2017,"

@ Rutgers 
","
L 10 - 12 
","

      
        
          10
        
      
    
","

      
        
          3
        
      
    
","

      
        
          13
        
      
    
","

      
        
          43
        
      
    
","

      
        
          25
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          31
        
      
    
","

      
        
          13
        
      
    
","

      
        
          10
        
      
    
","

      
        
          13
        
      
    
","

      
        
          26
        
      
    
","

      
        
          3
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          12
        
      
    
","

      
        
          9
        
      
    
"
2,02/20/2017,"

 VMI 
","
W 20 - 5 
","


          20/
        

","

      
        
          7
        
      
    
","

      
        
          27
        
      
    
","

      
        
          55
        
      
    
","


          37/
        

","

      
        
          1
        
      
    
","


","


          48/
        

","

      
        
          12
        
      
    
","

      
        
          4
        
      
    
","


          24/
        

","

      
        
          29
        
      
    
","

      
        
          1
        
      
    
","

      
        
          60
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          5
        
      
    
","

      
        
          11
        
      
    
"
3,02/25/2017,"

@ Syracuse 
","
W 14 - 13 
","

      
        
          14
        
      
    
","

      
        
          5
        
      
    
","

      
        
          19
        
      
    
","

      
        
          47
        
      
    
","

      
        
          26
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          31
        
      
    
","

      
        
          9
        
      
    
","

      
        
          3
        
      
    
","

      
        
          17
        
      
    
","

      
        
          30
        
      
    
","

      
        
          5
        
      
    
","

      
        
          240
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          13
        
      
    
","

      
        
          6
        
      
    
"
4,03/04/2017,"

 Lafayette 
","
W 14 - 4 
","

      
        
          14
        
      
    
","

      
        
          9
        
      
    
","

      
        
          23
        
      
    
","

      
        
          46
        
      
    
","

      
        
          29
        
      
    
","

      
        
          3
        
      
    
","


","

      
        
          31
        
      
    
","

      
        
          11
        
      
    
","

      
        
          4
        
      
    
","

      
        
          14
        
      
    
","

      
        
          22
        
      
    
","

      
        
          5
        
      
    
","

      
        
          180
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          4
        
      
    
","

      
        
          10
        
      
    
"
5,03/11/2017,"

@ Lehigh 
","
W 6 - 4 
","

      
        
          6
        
      
    
","

      
        
          3
        
      
    
","

      
        
          9
        
      
    
","

      
        
          27
        
      
    
","

      
        
          16
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          37
        
      
    
","

      
        
          16
        
      
    
","

      
        
          11
        
      
    
","

      
        
          10
        
      
    
","

      
        
          14
        
      
    
","

      
        
          1
        
      
    
","

      
        
          60
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          4
        
      
    
","

      
        
          12
        
      
    
"
6,03/13/2017,"

 NJIT 
","
W 19 - 6 
","

      
        
          19
        
      
    
","

      
        
          15
        
      
    
","


          34/
        

","

      
        
          51
        
      
    
","

      
        
          32
        
      
    
","

      
        
          2
        
      
    
","


","


          48/
        

","

      
        
          11
        
      
    
","

      
        
          15
        
      
    
","

      
        
          21
        
      
    
","

      
        
          28
        
      
    
","

      
        
          1
        
      
    
","

      
        
          30
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          6
        
      
    
","

      
        
          2
        
      
    
"
7,03/18/2017,"

@ Holy Cross 
","
W 10 - 4 
","

      
        
          10
        
      
    
","

      
        
          5
        
      
    
","

      
        
          15
        
      
    
","

      
        
          32
        
      
    
","

      
        
          18
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          34
        
      
    
","

      
        
          20
        
      
    
","

      
        
          12
        
      
    
","

      
        
          10
        
      
    
","

      
        
          17
        
      
    
","

      
        
          4
        
      
    
","

      
        
          210
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          4
        
      
    
","

      
        
          10
        
      
    
"
8,03/25/2017,"

 Colgate 
","
W 10 - 8 
","

      
        
          10
        
      
    
","

      
        
          3
        
      
    
","

      
        
          13
        
      
    
","

      
        
          41
        
      
    
","

      
        
          28
        
      
    
","


","


","

      
        
          33
        
      
    
","

      
        
          8
        
      
    
","

      
        
          3
        
      
    
","

      
        
          14
        
      
    
","

      
        
          21
        
      
    
","

      
        
          1
        
      
    
","

      
        
          60
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          8
        
      
    
","

      
        
          10
        
      
    
"
9,04/01/2017,"

@ Bucknell 
","
W 11 - 10 
","

      
        
          11
        
      
    
","

      
        
          9
        
      
    
","

      
        
          20
        
      
    
","

      
        
          35
        
      
    
","

      
        
          22
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          31
        
      
    
","

      
        
          15
        
      
    
","

      
        
          7
        
      
    
","

      
        
          15
        
      
    
","

      
        
          22
        
      
    
","

      
        
          5
        
      
    
","

      
        
          180
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          10
        
      
    
","

      
        
          9
        
      
    
"
