,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/11/2017,@ Robert Morris,L 8 - 10,8,4,12,41,21,10,22,3,120,"3,600",10,15,18,19,0.947
1,02/18/2017,Michigan,L 5 - 13,5,2,7,31,16,8,22,6,270,"3,600",13,6,12,16,0.750
2,02/25/2017,@ Quinnipiac,W 14 - 13,14,8,22,42,28,12,31,9,300,"3,600",13,14,11,11,1.000/
3,03/03/2017,"Detroit Mercy @ Milwaukee, Wis.",L 10 - 13,10,5,15,31,17,9,27,10/,450,"3,600",13,13,11,16,0.688
4,03/05/2017,"Ohio St. @ Milwaukee, Wis.",L 11 - 14,11,8,19,32,18,6,28,5,330,"3,600",14,10,13,15,0.867
5,03/11/2017,Mt. St. Mary's,L 7 - 18,7,4,11,34,16,10,26,6,420,"3,600",18,12,14,16,0.875
6,03/18/2017,@ Furman,L 6 - 19,6,3,9,26,14,11,28,5,270,"3,600",19,8,13,21,0.619
7,03/25/2017,VMI,W 13 - 8,13,5,18,32,20,12,25,2,90,"3,600",8,10,15,16,0.938
8,04/01/2017,@ Air Force,L 2 - 20,2,1,3,15,7,7,26,5,180,"3,600",20,10,10,12,0.833
9,04/08/2017,High Point,W 7 - 5,7,5,12,30,18,10,15,4,180,"3,600",5,9,12,15,0.800
10,04/15/2017,Richmond,L 6 - 13,6,6,12,34,19,11,23,4,150,"3,600",13,13,13,14,0.929
11,04/22/2017,@ Mercer,W 12 - 11,12,5,17,41,20,9,24,2,120,"3,600",11,13,17,20,0.850
12,04/29/2017,Jacksonville,L 11 - 17,11,5,16,35,22,11,32,7,330,"3,600",17,12,17,19,0.895
