,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/17/2017,Colgate,W 11 - 8,11,7,18,43,29,7,23,2,60,"3,600",8,15,16,17,0.941
1,02/25/2017,Marist,L 8 - 11,8,2,10,25,14,15,4,11,20,"3,600",11,7,15,18,0.833
2,03/05/2017,Hobart and William Smith,W 12 - 6,12,6,18,37,22,14,22,3,120,"3,600",6,13,16,17,0.941
3,03/07/2017,@ Siena,W 10 - 5,10,5,15,32,20,9,19,1,60,"3,600",5,7,16,18,0.889
4,03/11/2017,@ Delaware,W 13 - 9,13,9,22,27,22,9,25,4,240,"3,600",9,10,14,15,0.933
5,03/18/2017,@ UMass Lowell,W 15 - 8,15,11,26,33,24,18,27,2,90,"3,600",8,9,15,16,0.938
6,03/25/2017,Vermont,W 8 - 5,8,6,14,35,19,9,16,4,180,"3,587",5,8,19,20,0.950
7,03/28/2017,@ Canisius,W 11 - 7,11,7,18,28,18,12,21,4,210,"3,600",7,7,16,17,0.941
8,04/01/2017,Lafayette,W 14 - 8,14,6,20,35,20,15,27,1,60,"3,580",8,7,16,17,0.941
9,04/08/2017,Hartford,W 10 - 9,10,8,18,32,17,10,3,13,23,"3,600",9,11,13,14,0.929
10,04/15/2017,@ UMBC,L 6 - 7,6,3,9,19,13,8,17,3,210,"3,600",7,8,14,16,0.875
11,04/19/2017,Albany (NY),L 4 - 10,4,3,7,31,17,5,18,4,150,"3,569",10,7,15,20,0.750
12,04/22/2017,@ Syracuse,L 8 - 9,8,5,13,27,17,12,20,1,60,"3,600",9,8,18,19,0.947
13,04/28/2017,@ Stony Brook,W 6 - 5 (1OT),6,1,7,25,12,5,14,4,120,"3,669",5,13,15,16,0.938
14,05/04/2017,"UMBC @ Albany, N.Y.",W 9 - 4,9,4,13,26,13,6,16,4,150,"3,600",4,9,21,22,0.955
15,05/06/2017,@ Albany (NY),L 8 - 20,8,5,13,30,15,9,30,3,180,"3,600",20,6,13,17,0.765
