,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/19/2017,Quinnipiac,W 25 - 9,25/,16/,41/,67/,41/,24,38,4,180,"3,600",9,10,26,31/,0.839
1,02/25/2017,Stony Brook,L 17 - 25,17,9,26,38,22,26/,45/,9/,480/,"3,600",25/,12,16,21,0.762
2,03/04/2017,@ Rutgers,L 11 - 13,11,4,15,45,19,14,28,3,180,"3,600",13,19,13,17,0.765
3,03/07/2017,Villanova,L 15 - 17,15,9,24,32,22,19,36,7,330,"3,600",17,13,19,21,0.905
4,03/18/2017,Harvard,W 13 - 8,13,5,18,41,26,12,23,2,120,"3,600",8,11,29/,31/,0.935
5,03/21/2017,Holy Cross,W 17 - 14,17,11,28,60,31,24,33,5,270,"3,600",14,6,16,16,1.000/
6,03/25/2017,@ Massachusetts,W 10 - 9 (1OT),10,4,14,37,26,11,23,1,30,"3,768",9,18,11,17,0.647
7,04/01/2017,@ Princeton,L 11 - 21,11,7,18,54,29,21,36,5,240,"3,600",21,17,14,17,0.824
8,04/08/2017,Penn,W 11 - 8,11,7,18,42,28,16,23,1,60,"3,600",8,19,22,24,0.917
9,04/15/2017,@ Yale,L 12 - 18,12,8,20,46,27,16,33,3,90,"3,600",18,15,18,18,1.000/
10,04/18/2017,@ Providence,W 13 - 12 (2OT),13,9,22,37,26,21,29,2,90,"3,884",12,13,23,24,0.958
11,04/22/2017,Cornell,W 13 - 10,13,7,20,44,27,22,27,2,90,"3,600",10,14,20,26,0.769
12,04/25/2017,@ Bryant,W 14 - 12,14,7,21,38,21,15,4,15,28,"3,600",12,12,15,18,0.833
13,04/29/2017,@ Dartmouth,W 20 - 5,20,9,29,59,36,21,28,1,60,"3,599",5,5,17,19,0.895
14,05/05/2017,"Princeton @ New Haven, CT",W 17 - 15,17,9,26,36,28,13,35,2,60,"3,600",15,20,17,21,0.810
15,05/07/2017,@ Yale,L 9 - 10,9,4,13,40,21,13,23,1,30,"3,600",10,10,17,18,0.944
