,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,EMOG,MDDG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/04/2017,"

 Michigan 
","
L 8 - 13 
","

      
        
          8
        
      
    
","

      
        
          6
        
      
    
","

      
        
          14
        
      
    
","

      
        
          37
        
      
    
","

      
        
          23
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          19
        
      
    
","

      
        
          13
        
      
    
","

      
        
          4
        
      
    
","

      
        
          10
        
      
    
","

      
        
          25
        
      
    
","

      
        
          1
        
      
    
","

      
        
          60
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          13
        
      
    
","

      
        
          12
        
      
    
"
1,02/12/2017,"

@ Duke 
","
L 7 - 22 
","

      
        
          7
        
      
    
","

      
        
          3
        
      
    
","

      
        
          10
        
      
    
","

      
        
          27
        
      
    
","

      
        
          17
        
      
    
","


","


","

      
        
          36
        
      
    
","

      
        
          24
        
      
    
","

      
        
          5
        
      
    
","

      
        
          18
        
      
    
","

      
        
          31
        
      
    
","

      
        
          6
        
      
    
","

      
        
          210
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          22
        
      
    
","

      
        
          10
        
      
    
"
2,02/18/2017,"

 Baldwin Wallace 
","
W 9 - 2 
","

      
        
          9
        
      
    
","

      
        
          5
        
      
    
","

      
        
          14
        
      
    
","

      
        
          22
        
      
    
","

      
        
          16
        
      
    
","


","


","

      
        
          26
        
      
    
","

      
        
          14
        
      
    
","

      
        
          13
        
      
    
","

      
        
          2
        
      
    
","

      
        
          15
        
      
    
","

      
        
          2
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          2
        
      
    
","

      
        
          10
        
      
    
"
3,02/19/2017,"

 John Carroll 
","
W 15 - 8 
","

      
        
          15
        
      
    
","

      
        
          8
        
      
    
","

      
        
          23
        
      
    
","

      
        
          30
        
      
    
","

      
        
          23
        
      
    
","

      
        
          3
        
      
    
","


","

      
        
          33
        
      
    
","

      
        
          14
        
      
    
","

      
        
          8
        
      
    
","

      
        
          18
        
      
    
","

      
        
          26
        
      
    
","

      
        
          5
        
      
    
","

      
        
          210
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          8
        
      
    
","

      
        
          10
        
      
    
"
4,02/25/2017,"

@ Denver 
","
L 6 - 19 
","

      
        
          6
        
      
    
","

      
        
          2
        
      
    
","

      
        
          8
        
      
    
","

      
        
          22
        
      
    
","

      
        
          10
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          20
        
      
    
","

      
        
          17
        
      
    
","

      
        
          5
        
      
    
","

      
        
          4
        
      
    
","

      
        
          28
        
      
    
","

      
        
          2
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          19
        
      
    
","

      
        
          19
        
      
    
"
5,02/26/2017,"

 Air Force @ Denver, Colo.
","
L 2 - 16 
","

      
        
          2
        
      
    
","

      
        
          1
        
      
    
","

      
        
          3
        
      
    
","

      
        
          15
        
      
    
","

      
        
          9
        
      
    
","


","


","

      
        
          15
        
      
    
","

      
        
          18
        
      
    
","

      
        
          6
        
      
    
","

      
        
          5
        
      
    
","

      
        
          21
        
      
    
","


","


","

      
        
          3,600
        
      
    
","

      
        
          16
        
      
    
","

      
        
          10
        
      
    
"
6,03/04/2017,"

 Canisius 
","
L 7 - 17 
","

      
        
          7
        
      
    
","

      
        
          5
        
      
    
","

      
        
          12
        
      
    
","

      
        
          29
        
      
    
","

      
        
          19
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          36
        
      
    
","

      
        
          17
        
      
    
","

      
        
          5
        
      
    
","

      
        
          12
        
      
    
","

      
        
          28
        
      
    
","

      
        
          4
        
      
    
","

      
        
          210
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          17
        
      
    
","

      
        
          13
        
      
    
"
7,03/11/2017,"

@ Ohio St. 
","
L 4 - 12 
","

      
        
          4
        
      
    
","

      
        
          2
        
      
    
","

      
        
          6
        
      
    
","

      
        
          28
        
      
    
","

      
        
          13
        
      
    
","


","


","

      
        
          17
        
      
    
","

      
        
          14
        
      
    
","


","

      
        
          10
        
      
    
","

      
        
          18
        
      
    
","

      
        
          6
        
      
    
","

      
        
          270
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          12
        
      
    
","

      
        
          10
        
      
    
"
8,03/16/2017,"

@ Wittenberg 
","
W 18 - 10 
","

      
        
          18
        
      
    
","

      
        
          8
        
      
    
","

      
        
          26
        
      
    
","

      
        
          53
        
      
    
","

      
        
          32
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          34
        
      
    
","

      
        
          19
        
      
    
","

      
        
          7
        
      
    
","

      
        
          18
        
      
    
","

      
        
          31
        
      
    
","

      
        
          4
        
      
    
","

      
        
          210
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          10
        
      
    
","

      
        
          15
        
      
    
"
9,03/25/2017,"

@ Penn St. 
","
L 8 - 15 
","

      
        
          8
        
      
    
","

      
        
          3
        
      
    
","

      
        
          11
        
      
    
","

      
        
          34
        
      
    
","

      
        
          20
        
      
    
","

      
        
          3
        
      
    
","


","

      
        
          24
        
      
    
","

      
        
          12
        
      
    
","

      
        
          3
        
      
    
","

      
        
          7
        
      
    
","

      
        
          26
        
      
    
","

      
        
          2
        
      
    
","

      
        
          120
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          15
        
      
    
","

      
        
          17
        
      
    
"
10,04/04/2017,"

@ Virginia 
","
L 7 - 20 
","

      
        
          7
        
      
    
","

      
        
          3
        
      
    
","

      
        
          10
        
      
    
","

      
        
          30
        
      
    
","

      
        
          17
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          28
        
      
    
","

      
        
          16
        
      
    
","

      
        
          5
        
      
    
","

      
        
          9
        
      
    
","

      
        
          30
        
      
    
","

      
        
          3
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          20
        
      
    
","

      
        
          16
        
      
    
"
