,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,EMOG,MDDG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/18/2017,"

@ Penn St. 
","
L 10 - 20 
","

      
        
          10
        
      
    
","

      
        
          2
        
      
    
","

      
        
          12
        
      
    
","

      
        
          32
        
      
    
","

      
        
          19
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          22
        
      
    
","

      
        
          14
        
      
    
","

      
        
          4
        
      
    
","

      
        
          9
        
      
    
","

      
        
          34
        
      
    
","

      
        
          3
        
      
    
","

      
        
          180
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          20
        
      
    
","

      
        
          14
        
      
    
"
1,02/25/2017,"

@ Hobart and William Smith 
","
L 8 - 16 
","

      
        
          8
        
      
    
","

      
        
          3
        
      
    
","

      
        
          11
        
      
    
","

      
        
          44
        
      
    
","

      
        
          26
        
      
    
","


","


","

      
        
          32
        
      
    
","

      
        
          13
        
      
    
","

      
        
          7
        
      
    
","

      
        
          10
        
      
    
","

      
        
          26
        
      
    
","

      
        
          6
        
      
    
","

      
        
          270
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          16
        
      
    
","

      
        
          11
        
      
    
"
2,03/05/2017,"

 Albany (NY) 
","
L 6 - 17 
","

      
        
          6
        
      
    
","

      
        
          3
        
      
    
","

      
        
          9
        
      
    
","

      
        
          25
        
      
    
","

      
        
          16
        
      
    
","


","


","

      
        
          31
        
      
    
","

      
        
          18
        
      
    
","

      
        
          7
        
      
    
","

      
        
          9
        
      
    
","

      
        
          26
        
      
    
","

      
        
          4
        
      
    
","

      
        
          210
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          17
        
      
    
","

      
        
          10
        
      
    
"
3,03/11/2017,"

 Virginia @ Costa Mesa, Calif.
","
L 18 - 19 (1OT)
","

      
        
          18
        
      
    
","

      
        
          11
        
      
    
","

      
        
          29
        
      
    
","

      
        
          42
        
      
    
","

      
        
          26
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          33
        
      
    
","

      
        
          15
        
      
    
","

      
        
          3
        
      
    
","

      
        
          20
        
      
    
","

      
        
          39
        
      
    
","

      
        
          6
        
      
    
","

      
        
          300
        
      
    
","

      
        
          3,679
        
      
    
","

      
        
          19
        
      
    
","

      
        
          15
        
      
    
"
4,03/18/2017,"

@ Yale 
","
L 8 - 17 
","

      
        
          8
        
      
    
","

      
        
          5
        
      
    
","

      
        
          13
        
      
    
","

      
        
          34
        
      
    
","

      
        
          16
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          22
        
      
    
","

      
        
          15
        
      
    
","

      
        
          8
        
      
    
","

      
        
          10
        
      
    
","

      
        
          31
        
      
    
","

      
        
          2
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          17
        
      
    
","

      
        
          13
        
      
    
"
5,03/21/2017,"

 Colgate 
","
W 15 - 6 
","

      
        
          15
        
      
    
","

      
        
          9
        
      
    
","

      
        
          24
        
      
    
","

      
        
          40
        
      
    
","

      
        
          24
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          42
        
      
    
","

      
        
          11
        
      
    
","

      
        
          11
        
      
    
","

      
        
          6
        
      
    
","

      
        
          25
        
      
    
","

      
        
          5
        
      
    
","

      
        
          210
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          6
        
      
    
","

      
        
          15
        
      
    
"
6,03/25/2017,"

 Penn 
","
L 9 - 10 
","

      
        
          9
        
      
    
","

      
        
          4
        
      
    
","

      
        
          13
        
      
    
","

      
        
          35
        
      
    
","

      
        
          17
        
      
    
","


","


","

      
        
          33
        
      
    
","

      
        
          13
        
      
    
","

      
        
          7
        
      
    
","

      
        
          12
        
      
    
","

      
        
          23
        
      
    
","

      
        
          2
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          10
        
      
    
","

      
        
          9
        
      
    
"
7,04/01/2017,"

 Dartmouth 
","
W 14 - 5 
","

      
        
          14
        
      
    
","

      
        
          12
        
      
    
","

      
        
          26
        
      
    
","

      
        
          52
        
      
    
","

      
        
          30
        
      
    
","


","


","

      
        
          48
        
      
    
","

      
        
          21
        
      
    
","

      
        
          17
        
      
    
","

      
        
          15
        
      
    
","

      
        
          23
        
      
    
","

      
        
          2
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          5
        
      
    
","

      
        
          9
        
      
    
"
8,04/08/2017,"

@ Harvard 
","
W 12 - 9 
","

      
        
          12
        
      
    
","

      
        
          8
        
      
    
","

      
        
          20
        
      
    
","

      
        
          34
        
      
    
","

      
        
          18
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          32
        
      
    
","

      
        
          18
        
      
    
","

      
        
          11
        
      
    
","

      
        
          14
        
      
    
","

      
        
          25
        
      
    
","

      
        
          6
        
      
    
","

      
        
          300
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          9
        
      
    
","

      
        
          7
        
      
    
"
9,04/11/2017,"

@ Syracuse 
","
L 8 - 15 
","

      
        
          8
        
      
    
","

      
        
          6
        
      
    
","

      
        
          14
        
      
    
","

      
        
          34
        
      
    
","

      
        
          17
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          27
        
      
    
","

      
        
          10
        
      
    
","

      
        
          9
        
      
    
","

      
        
          6
        
      
    
","

      
        
          26
        
      
    
","

      
        
          6
        
      
    
","

      
        
          330
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          15
        
      
    
","

      
        
          12
        
      
    
"
