,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,EMOG,MDDG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/18/2017,"

 Boston U. 
","
L 5 - 12 
","

      
        
          5
        
      
    
","

      
        
          4
        
      
    
","

      
        
          9
        
      
    
","

      
        
          36
        
      
    
","

      
        
          17
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          24
        
      
    
","

      
        
          12
        
      
    
","

      
        
          4
        
      
    
","

      
        
          9
        
      
    
","

      
        
          21
        
      
    
","

      
        
          5
        
      
    
","

      
        
          240
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          12
        
      
    
","

      
        
          10
        
      
    
"
1,02/25/2017,"

@ Bryant 
","
L 11 - 17 
","

      
        
          11
        
      
    
","

      
        
          7
        
      
    
","

      
        
          18
        
      
    
","

      
        
          37
        
      
    
","

      
        
          23
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          35
        
      
    
","

      
        
          17
        
      
    
","

      
        
          1
        
      
    
","

      
        
          23
        
      
    
","

      
        
          31
        
      
    
","

      
        
          2
        
      
    
","

      
        
          120
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          17
        
      
    
","

      
        
          6
        
      
    
"
2,02/28/2017,"

 Manhattan 
","
L 13 - 14 (2OT)
","

      
        
          13
        
      
    
","

      
        
          6
        
      
    
","

      
        
          19
        
      
    
","

      
        
          45
        
      
    
","

      
        
          25
        
      
    
","


","


","

      
        
          33
        
      
    
","

      
        
          10
        
      
    
","

      
        
          6
        
      
    
","

      
        
          19
        
      
    
","

      
        
          30
        
      
    
","

      
        
          4
        
      
    
","

      
        
          180
        
      
    
","


          3,890/
        

","

      
        
          14
        
      
    
","

      
        
          13
        
      
    
"
3,03/04/2017,"

 Jacksonville 
","
W 15 - 3 
","

      
        
          15
        
      
    
","

      
        
          11
        
      
    
","

      
        
          26
        
      
    
","

      
        
          47
        
      
    
","

      
        
          31
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          27
        
      
    
","

      
        
          7
        
      
    
","


          12/
        

","

      
        
          13
        
      
    
","

      
        
          22
        
      
    
","

      
        
          1
        
      
    
","

      
        
          30
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          3
        
      
    
","

      
        
          4
        
      
    
"
4,03/11/2017,"

@ Quinnipiac 
","
W 11 - 9 
","

      
        
          11
        
      
    
","

      
        
          6
        
      
    
","

      
        
          17
        
      
    
","

      
        
          24
        
      
    
","

      
        
          18
        
      
    
","


","


","

      
        
          34
        
      
    
","

      
        
          15
        
      
    
","

      
        
          6
        
      
    
","

      
        
          17
        
      
    
","

      
        
          24
        
      
    
","

      
        
          4
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          9
        
      
    
","

      
        
          8
        
      
    
"
5,03/18/2017,"

 Massachusetts 
","
L 10 - 12 
","

      
        
          10
        
      
    
","

      
        
          8
        
      
    
","

      
        
          18
        
      
    
","

      
        
          28
        
      
    
","

      
        
          15
        
      
    
","


          5/
        

","


","

      
        
          18
        
      
    
","

      
        
          12
        
      
    
","

      
        
          1
        
      
    
","

      
        
          6
        
      
    
","

      
        
          24
        
      
    
","

      
        
          2
        
      
    
","

      
        
          60
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          12
        
      
    
","

      
        
          16
        
      
    
"
6,03/21/2017,"

 Marist 
","
W 9 - 3 
","

      
        
          9
        
      
    
","

      
        
          3
        
      
    
","

      
        
          12
        
      
    
","

      
        
          26
        
      
    
","

      
        
          20
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          26
        
      
    
","

      
        
          11
        
      
    
","

      
        
          5
        
      
    
","

      
        
          11
        
      
    
","

      
        
          16
        
      
    
","

      
        
          3
        
      
    
","

      
        
          180
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          3
        
      
    
","

      
        
          10
        
      
    
"
7,03/26/2017,"

 Stony Brook 
","
L 9 - 13 
","

      
        
          9
        
      
    
","

      
        
          7
        
      
    
","

      
        
          16
        
      
    
","

      
        
          34
        
      
    
","

      
        
          19
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          27
        
      
    
","

      
        
          13
        
      
    
","

      
        
          6
        
      
    
","

      
        
          13
        
      
    
","

      
        
          25
        
      
    
","

      
        
          4
        
      
    
","

      
        
          180
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          13
        
      
    
","

      
        
          10
        
      
    
"
8,04/01/2017,"

@ Vermont 
","
W 15 - 13 
","

      
        
          15
        
      
    
","

      
        
          12
        
      
    
","

      
        
          27
        
      
    
","

      
        
          45
        
      
    
","

      
        
          29
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          29
        
      
    
","

      
        
          14
        
      
    
","

      
        
          6
        
      
    
","

      
        
          19
        
      
    
","

      
        
          28
        
      
    
","


          9/
        

","


          480/
        

","

      
        
          3,600
        
      
    
","

      
        
          13
        
      
    
","

      
        
          9
        
      
    
"
9,04/08/2017,"

@ Binghamton 
","
L 9 - 10 
","

      
        
          9
        
      
    
","

      
        
          5
        
      
    
","

      
        
          14
        
      
    
","

      
        
          34
        
      
    
","

      
        
          20
        
      
    
","


","


","

      
        
          15
        
      
    
","

      
        
          8
        
      
    
","

      
        
          5
        
      
    
","

      
        
          10
        
      
    
","

      
        
          23
        
      
    
","

      
        
          2
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          10
        
      
    
","

      
        
          7
        
      
    
"
