,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/11/2017,Penn St.,L 15 - 21,15,2,17,34,22,11,38/,4,180,"3,600",21/,10,14,17,0.824
1,02/18/2017,Siena,W 16 - 15,16,10,26,46,23,18,34,5,180,"3,600",15,10,13,14,0.929
2,02/25/2017,Cornell,W 16 - 8,16,7,23,45,27,16,26,2,120,"3,600",8,18,23,26,0.885
3,03/05/2017,@ Binghamton,L 6 - 12,6,3,9,33,19,8,22,3,150,"3,600",12,10,10,11,0.909
4,03/08/2017,@ Colgate,L 6 - 13,6,3,9,21,14,18,5,11,23,"3,600",13,8,11,17,0.647
5,03/11/2017,Georgetown,L 6 - 16,6,4,10,34,20,15,25,3,150,"3,600",16,13,12,16,0.750
6,03/14/2017,Canisius,W 18 - 11,18/,8,26,51,28,14,32,3,180,"3,600",11,8,15,16,0.938
7,03/18/2017,Wagner,W 17 - 5,17,13,30,46,33,17,24,2,120,"3,600",5,11,23,25,0.920
8,03/25/2017,@ Sacred Heart,L 7 - 8,7,4,11,40,21,12,16,8,390,"3,600",8,14,17,19,0.895
9,04/05/2017,Syracuse,L 11 - 17,11,5,16,53,28,14,31,5,210,"3,600",17,9,11,12,0.917
10,04/08/2017,@ Saint Joseph's,W 8 - 7 (1OT),8,6,14,42,28,6,18,6,300,"3,618",7,17,20,23,0.870
11,04/15/2017,Bryant,W 13 - 6,13,5,18,53,31,13,21,1,30,"3,600",6,11,18,21,0.857
12,04/22/2017,Mt. St. Mary's,W 15 - 8,15,7,22,50,29,22,27,2,90,"3,600",8,10,21,25,0.840
13,04/29/2017,@ Robert Morris,W 18 - 17,18/,10,28,47,28,18,37,5,270,"3,577",17,14,19,21,0.905
14,05/04/2017,Sacred Heart,W 15 - 9,15,3,18,55,25,13,27,4,210,"3,600",9,14,23,27,0.852
15,05/06/2017,Bryant,L 4 - 5,4,2,6,34,14,9,13,1,60,"3,600",5,10,18,22,0.818
