,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/07/2017,Navy,W 15 - 8,15,9,24,37,27,12,26,3,90,"3,600",8,8,18,20,0.900
1,02/11/2017,UMBC,W 15 - 5,15,7,22,42,24,11,24,3,240,"3,600",5,4,14,16,0.875
2,02/18/2017,Loyola Maryland,W 14 - 13 (1OT),14,4,18,41,28,12,31,3,150,"3,733",13,8,16,16,1.000/
3,02/25/2017,@ North Carolina,W 13 - 5,13,8,21,37,24,7,21,3,150,"3,595",5,16,19,21,0.905
4,03/03/2017,@ Princeton,L 7 - 18,7,6,13,42,23,11,28,2,120,"3,600",18,10,13,15,0.867
5,03/11/2017,@ Towson,L 8 - 13,8,3,11,23,14,9,25,1,60,"3,600",13,11,13,14,0.929
6,03/18/2017,Syracuse,L 7 - 8 (1OT),7,5,12,31,14,9,18,3,150,"3,662",8,10,18,19,0.947
7,03/25/2017,Virginia,W 18 - 17 (1OT),18,10,28,62/,34/,21,39/,3,150,"3,658",17,10,12,13,0.923
8,03/31/2017,Rutgers,W 12 - 6,12,6,18,41,22,13,22,1,60,"3,600",6,12,19,20,0.950
9,04/09/2017,@ Ohio St.,L 9 - 13,9,4,13,30,16,7,26,5,150,"3,594",13,7,15,15,1.000/
10,04/15/2017,Penn St.,W 13 - 11,13,7,20,44,28,19,28,2,120,"3,600",11,7,16,19,0.842
11,04/22/2017,Michigan,W 19 - 9,19,14/,33,45,32,21,31,5,390,"3,600",9,10,21,23,0.913
12,04/29/2017,@ Maryland,L 5 - 12,5,3,8,28,14,12,18,4,180,"3,600",12,9,13,16,0.812
13,05/04/2017,@ Ohio St.,L 13 - 15,13,11,24,34,18,11,31,2,90,"3,600",15,7,14,18,0.778
14,05/13/2017,Duke,L 6 - 19,6,3,9,25,16,9,28,4,150,"3,600",19/,9,19,23,0.826
