,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,EMOG,MDDG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/11/2017,"

@ Michigan 
","
L 6 - 17 
","

      
        
          6
        
      
    
","

      
        
          5
        
      
    
","

      
        
          11
        
      
    
","

      
        
          42
        
      
    
","

      
        
          18
        
      
    
","


          4/
        

","


","

      
        
          24
        
      
    
","

      
        
          11
        
      
    
","

      
        
          2
        
      
    
","

      
        
          11
        
      
    
","

      
        
          26
        
      
    
","

      
        
          5
        
      
    
","

      
        
          270
        
      
    
","

      
        
          3,595
        
      
    
","

      
        
          17
        
      
    
","

      
        
          16
        
      
    
"
1,02/17/2017,"

@ Wagner 
","
L 8 - 9 
","

      
        
          8
        
      
    
","

      
        
          5
        
      
    
","

      
        
          13
        
      
    
","

      
        
          38
        
      
    
","

      
        
          25
        
      
    
","


","


","

      
        
          29
        
      
    
","

      
        
          13
        
      
    
","

      
        
          10
        
      
    
","

      
        
          14
        
      
    
","

      
        
          21
        
      
    
","

      
        
          2
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          9
        
      
    
","

      
        
          8
        
      
    
"
2,02/25/2017,"

 Loyola Maryland 
","
L 5 - 18 
","

      
        
          5
        
      
    
","

      
        
          2
        
      
    
","

      
        
          7
        
      
    
","

      
        
          34
        
      
    
","

      
        
          21
        
      
    
","


","


","

      
        
          29
        
      
    
","

      
        
          17
        
      
    
","

      
        
          8
        
      
    
","

      
        
          11
        
      
    
","

      
        
          26
        
      
    
","

      
        
          2
        
      
    
","

      
        
          60
        
      
    
","

      
        
          3,600
        
      
    
","


          18/
        

","

      
        
          16
        
      
    
"
3,02/28/2017,"

@ Sacred Heart 
","
L 10 - 14 
","

      
        
          10
        
      
    
","

      
        
          6
        
      
    
","

      
        
          16
        
      
    
","

      
        
          27
        
      
    
","

      
        
          17
        
      
    
","

      
        
          3
        
      
    
","


","

      
        
          27
        
      
    
","

      
        
          20
        
      
    
","

      
        
          9
        
      
    
","

      
        
          15
        
      
    
","

      
        
          25
        
      
    
","

      
        
          6
        
      
    
","

      
        
          420
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          14
        
      
    
","

      
        
          13
        
      
    
"
4,03/04/2017,"

@ Army West Point 
","
L 4 - 14 
","

      
        
          4
        
      
    
","

      
        
          2
        
      
    
","

      
        
          6
        
      
    
","

      
        
          25
        
      
    
","

      
        
          14
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          32
        
      
    
","

      
        
          14
        
      
    
","

      
        
          6
        
      
    
","

      
        
          8
        
      
    
","

      
        
          22
        
      
    
","

      
        
          5
        
      
    
","

      
        
          270
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          14
        
      
    
","

      
        
          15
        
      
    
"
5,03/11/2017,"

 Navy 
","
W 9 - 8 
","

      
        
          9
        
      
    
","

      
        
          3
        
      
    
","

      
        
          12
        
      
    
","

      
        
          35
        
      
    
","

      
        
          19
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          33
        
      
    
","

      
        
          12
        
      
    
","

      
        
          6
        
      
    
","

      
        
          8
        
      
    
","

      
        
          21
        
      
    
","

      
        
          3
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          8
        
      
    
","

      
        
          11
        
      
    
"
6,03/18/2017,"

@ Lehigh 
","
L 7 - 15 
","

      
        
          7
        
      
    
","

      
        
          6
        
      
    
","

      
        
          13
        
      
    
","

      
        
          38
        
      
    
","

      
        
          16
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          36
        
      
    
","

      
        
          14
        
      
    
","

      
        
          6
        
      
    
","

      
        
          11
        
      
    
","

      
        
          26
        
      
    
","

      
        
          3
        
      
    
","

      
        
          180
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          15
        
      
    
","

      
        
          7
        
      
    
"
7,03/25/2017,"

@ Boston U. 
","
L 7 - 15 
","

      
        
          7
        
      
    
","

      
        
          4
        
      
    
","

      
        
          11
        
      
    
","

      
        
          24
        
      
    
","

      
        
          16
        
      
    
","


","


","

      
        
          16
        
      
    
","

      
        
          16
        
      
    
","

      
        
          4
        
      
    
","

      
        
          11
        
      
    
","

      
        
          25
        
      
    
","

      
        
          2
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          15
        
      
    
","

      
        
          6
        
      
    
"
8,04/01/2017,"

@ Binghamton 
","
L 8 - 14 
","

      
        
          8
        
      
    
","

      
        
          6
        
      
    
","

      
        
          14
        
      
    
","

      
        
          19
        
      
    
","

      
        
          15
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          25
        
      
    
","

      
        
          17
        
      
    
","

      
        
          11
        
      
    
","

      
        
          12
        
      
    
","

      
        
          27
        
      
    
","

      
        
          3
        
      
    
","

      
        
          120
        
      
    
","

      
        
          3,580
        
      
    
","

      
        
          14
        
      
    
","

      
        
          6
        
      
    
"
9,04/04/2017,"

 Monmouth 
","
L 8 - 9 
","

      
        
          8
        
      
    
","

      
        
          2
        
      
    
","

      
        
          10
        
      
    
","

      
        
          47
        
      
    
","

      
        
          22
        
      
    
","


","


","

      
        
          33
        
      
    
","

      
        
          11
        
      
    
","

      
        
          5
        
      
    
","

      
        
          13
        
      
    
","

      
        
          20
        
      
    
","

      
        
          5
        
      
    
","

      
        
          210
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          9
        
      
    
","

      
        
          7
        
      
    
"
