,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,EMOG,MDDG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/04/2017,"

 NJIT 
","
W 15 - 5 
","

      
        
          15
        
      
    
","

      
        
          6
        
      
    
","

      
        
          21
        
      
    
","

      
        
          43
        
      
    
","

      
        
          30
        
      
    
","


","


","

      
        
          41
        
      
    
","

      
        
          11
        
      
    
","

      
        
          6
        
      
    
","

      
        
          21
        
      
    
","

      
        
          24
        
      
    
","

      
        
          3
        
      
    
","

      
        
          120
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          5
        
      
    
","

      
        
          8
        
      
    
"
1,02/11/2017,"

@ Jacksonville 
","
W 13 - 12 
","

      
        
          13
        
      
    
","

      
        
          9
        
      
    
","

      
        
          22
        
      
    
","

      
        
          47
        
      
    
","

      
        
          27
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          35
        
      
    
","

      
        
          12
        
      
    
","

      
        
          10
        
      
    
","

      
        
          13
        
      
    
","

      
        
          26
        
      
    
","

      
        
          8
        
      
    
","

      
        
          390
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          12
        
      
    
","

      
        
          12
        
      
    
"
2,02/18/2017,"

@ North Carolina 
","
L 8 - 15 
","

      
        
          8
        
      
    
","

      
        
          7
        
      
    
","

      
        
          15
        
      
    
","

      
        
          29
        
      
    
","

      
        
          18
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          30
        
      
    
","

      
        
          16
        
      
    
","

      
        
          8
        
      
    
","

      
        
          11
        
      
    
","

      
        
          25
        
      
    
","

      
        
          4
        
      
    
","

      
        
          210
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          15
        
      
    
","

      
        
          9
        
      
    
"
3,02/25/2017,"

@ Holy Cross 
","
L 8 - 14 
","

      
        
          8
        
      
    
","

      
        
          8
        
      
    
","

      
        
          16
        
      
    
","

      
        
          41
        
      
    
","

      
        
          21
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          29
        
      
    
","

      
        
          19
        
      
    
","

      
        
          6
        
      
    
","

      
        
          18
        
      
    
","

      
        
          24
        
      
    
","

      
        
          5
        
      
    
","

      
        
          210
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          14
        
      
    
","

      
        
          10
        
      
    
"
4,03/05/2017,"

@ Colgate 
","
W 11 - 5 
","

      
        
          11
        
      
    
","

      
        
          5
        
      
    
","

      
        
          16
        
      
    
","

      
        
          37
        
      
    
","

      
        
          22
        
      
    
","


","


","

      
        
          30
        
      
    
","

      
        
          16
        
      
    
","

      
        
          9
        
      
    
","

      
        
          16
        
      
    
","

      
        
          20
        
      
    
","

      
        
          3
        
      
    
","

      
        
          120
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          5
        
      
    
","

      
        
          9
        
      
    
"
5,03/11/2017,"

 Army West Point 
","
L 4 - 6 
","

      
        
          4
        
      
    
","

      
        
          2
        
      
    
","

      
        
          6
        
      
    
","

      
        
          27
        
      
    
","

      
        
          16
        
      
    
","


","


","

      
        
          37
        
      
    
","

      
        
          18
        
      
    
","

      
        
          8
        
      
    
","

      
        
          4
        
      
    
","

      
        
          14
        
      
    
","

      
        
          2
        
      
    
","

      
        
          60
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          6
        
      
    
","

      
        
          10
        
      
    
"
6,03/18/2017,"

 Lafayette 
","
W 15 - 7 
","

      
        
          15
        
      
    
","

      
        
          13
        
      
    
","

      
        
          28
        
      
    
","

      
        
          33
        
      
    
","

      
        
          22
        
      
    
","


          4/
        

","


","

      
        
          39
        
      
    
","

      
        
          12
        
      
    
","

      
        
          13
        
      
    
","

      
        
          15
        
      
    
","

      
        
          26
        
      
    
","

      
        
          4
        
      
    
","

      
        
          180
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          7
        
      
    
","

      
        
          9
        
      
    
"
7,03/25/2017,"

@ Navy 
","
L 9 - 14 
","

      
        
          9
        
      
    
","

      
        
          7
        
      
    
","

      
        
          16
        
      
    
","

      
        
          31
        
      
    
","

      
        
          14
        
      
    
","


","


","

      
        
          25
        
      
    
","

      
        
          14
        
      
    
","

      
        
          9
        
      
    
","

      
        
          5
        
      
    
","

      
        
          26
        
      
    
","

      
        
          2
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          14
        
      
    
","

      
        
          9
        
      
    
"
8,04/01/2017,"

 Boston U. 
","
W 10 - 6 
","

      
        
          10
        
      
    
","

      
        
          8
        
      
    
","

      
        
          18
        
      
    
","

      
        
          30
        
      
    
","

      
        
          22
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          28
        
      
    
","

      
        
          14
        
      
    
","

      
        
          11
        
      
    
","

      
        
          6
        
      
    
","

      
        
          19
        
      
    
","

      
        
          8
        
      
    
","

      
        
          330
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          6
        
      
    
","

      
        
          13
        
      
    
"
9,04/08/2017,"

@ Loyola Maryland 
","
L 5 - 14 
","

      
        
          5
        
      
    
","

      
        
          2
        
      
    
","

      
        
          7
        
      
    
","

      
        
          19
        
      
    
","

      
        
          13
        
      
    
","


","


","

      
        
          16
        
      
    
","

      
        
          14
        
      
    
","

      
        
          5
        
      
    
","

      
        
          6
        
      
    
","

      
        
          22
        
      
    
","

      
        
          3
        
      
    
","

      
        
          120
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          14
        
      
    
","

      
        
          17
        
      
    
"
