,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,EMOG,MDDG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/11/2017,"

 Delaware 
","
L 5 - 18 
","

      
        
          5
        
      
    
","

      
        
          2
        
      
    
","

      
        
          7
        
      
    
","

      
        
          29
        
      
    
","

      
        
          13
        
      
    
","


","


","

      
        
          24
        
      
    
","

      
        
          16
        
      
    
","

      
        
          6
        
      
    
","

      
        
          8
        
      
    
","

      
        
          26
        
      
    
","

      
        
          5
        
      
    
","

      
        
          210
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          18
        
      
    
","

      
        
          9
        
      
    
"
1,02/18/2017,"

 Towson 
","
L 5 - 13 
","

      
        
          5
        
      
    
","

      
        
          4
        
      
    
","

      
        
          9
        
      
    
","

      
        
          24
        
      
    
","

      
        
          16
        
      
    
","


","


","

      
        
          17
        
      
    
","

      
        
          18
        
      
    
","

      
        
          5
        
      
    
","

      
        
          4
        
      
    
","

      
        
          19
        
      
    
","

      
        
          7
        
      
    
","

      
        
          300
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          13
        
      
    
","

      
        
          10
        
      
    
"
2,02/21/2017,"

 Richmond 
","
L 7 - 10 
","

      
        
          7
        
      
    
","

      
        
          2
        
      
    
","

      
        
          9
        
      
    
","

      
        
          32
        
      
    
","

      
        
          15
        
      
    
","


","


","

      
        
          30
        
      
    
","

      
        
          14
        
      
    
","

      
        
          6
        
      
    
","

      
        
          7
        
      
    
","

      
        
          21
        
      
    
","

      
        
          6
        
      
    
","

      
        
          240
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          10
        
      
    
","

      
        
          6
        
      
    
"
3,02/26/2017,"

 Furman 
","
L 7 - 14 
","

      
        
          7
        
      
    
","

      
        
          2
        
      
    
","

      
        
          9
        
      
    
","

      
        
          26
        
      
    
","

      
        
          15
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          24
        
      
    
","

      
        
          16
        
      
    
","

      
        
          6
        
      
    
","

      
        
          8
        
      
    
","

      
        
          25
        
      
    
","

      
        
          4
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          14
        
      
    
","

      
        
          11
        
      
    
"
4,03/11/2017,"

@ Bellarmine 
","
W 18 - 7 
","


          18/
        

","


          15/
        

","


          33/
        

","

      
        
          40
        
      
    
","

      
        
          30
        
      
    
","

      
        
          4
        
      
    
","


","

      
        
          18
        
      
    
","

      
        
          8
        
      
    
","

      
        
          1
        
      
    
","

      
        
          16
        
      
    
","

      
        
          26
        
      
    
","


          10/
        

","


          540/
        

","

      
        
          3,600
        
      
    
","

      
        
          7
        
      
    
","

      
        
          9
        
      
    
"
5,03/18/2017,"

 Bryant 
","
W 6 - 5 
","

      
        
          6
        
      
    
","

      
        
          5
        
      
    
","

      
        
          11
        
      
    
","

      
        
          35
        
      
    
","

      
        
          17
        
      
    
","


","


          1/
        

","

      
        
          22
        
      
    
","

      
        
          9
        
      
    
","

      
        
          7
        
      
    
","

      
        
          3
        
      
    
","

      
        
          13
        
      
    
","

      
        
          4
        
      
    
","

      
        
          180
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          5
        
      
    
","

      
        
          15
        
      
    
"
6,03/25/2017,"

@ Robert Morris 
","
L 10 - 11 (1OT)
","

      
        
          10
        
      
    
","

      
        
          6
        
      
    
","

      
        
          16
        
      
    
","

      
        
          40
        
      
    
","

      
        
          20
        
      
    
","

      
        
          3
        
      
    
","


","

      
        
          24
        
      
    
","

      
        
          22
        
      
    
","

      
        
          4
        
      
    
","

      
        
          8
        
      
    
","

      
        
          25
        
      
    
","

      
        
          3
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,647
        
      
    
","

      
        
          11
        
      
    
","

      
        
          13
        
      
    
"
7,03/28/2017,"

@ VMI 
","
W 14 - 8 
","

      
        
          14
        
      
    
","

      
        
          10
        
      
    
","

      
        
          24
        
      
    
","

      
        
          42
        
      
    
","

      
        
          25
        
      
    
","


","


","

      
        
          25
        
      
    
","

      
        
          13
        
      
    
","

      
        
          5
        
      
    
","

      
        
          12
        
      
    
","

      
        
          25
        
      
    
","

      
        
          1
        
      
    
","

      
        
          60
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          8
        
      
    
","

      
        
          10
        
      
    
"
8,04/01/2017,"

 Sacred Heart 
","
L 5 - 13 
","

      
        
          5
        
      
    
","

      
        
          2
        
      
    
","

      
        
          7
        
      
    
","

      
        
          32
        
      
    
","

      
        
          15
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          25
        
      
    
","

      
        
          22
        
      
    
","

      
        
          4
        
      
    
","

      
        
          8
        
      
    
","

      
        
          21
        
      
    
","

      
        
          6
        
      
    
","

      
        
          240
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          13
        
      
    
","

      
        
          15
        
      
    
"
9,04/08/2017,"

 Bucknell 
","
W 12 - 10 
","

      
        
          12
        
      
    
","

      
        
          5
        
      
    
","

      
        
          17
        
      
    
","

      
        
          35
        
      
    
","

      
        
          17
        
      
    
","


","


","

      
        
          28
        
      
    
","

      
        
          18
        
      
    
","

      
        
          10
        
      
    
","

      
        
          10
        
      
    
","

      
        
          26
        
      
    
","

      
        
          1
        
      
    
","

      
        
          60
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          10
        
      
    
","

      
        
          11
        
      
    
"
