,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/11/2017,@ Colgate,W 12 - 8,12,9,21,34,19,13,25,2,90,"3,600",8,13,20,25,0.800
1,02/18/2017,@ Air Force,W 10 - 4,10,6,16,25,16,8,17,6,270,"3,600",4,16,15,19,0.789
2,02/21/2017,@ Princeton,L 6 - 10,6,5,11,24,19,14,19,5,270,"3,600",10,10,10,12,0.833
3,02/25/2017,@ Binghamton,W 11 - 8,11,9,20,31,18,9,20,3,150,"3,600",8,6,21,25,0.840
4,03/04/2017,Drexel,W 11 - 7,11,8,19,27,20,12,20,2,90,"3,600",7,15,14,14,1.000/
5,03/11/2017,UMBC,L 4 - 6,4,4,8,18,11,8,13,5,210,"3,600",6,13,9,10,0.900
6,03/18/2017,@ Canisius,L 6 - 17,6,4,10,23,15,14,26,6,330,"3,600",17,6,16,17,0.941
7,03/21/2017,@ Hartford,L 3 - 9,3,2,5,30,13,5,16,2,90,"3,600",9,11,12,16,0.750
8,03/25/2017,Holy Cross,W 8 - 5,8,7,15,34,18,9,17,2,120,"3,600",5,19/,19,21,0.905
9,04/01/2017,Monmouth,L 2 - 7,2,2,21,15,20,6,13,4,180,"3,600",7,17,15,15,1.000/
10,04/08/2017,@ Quinnipiac,W 9 - 8,9,6,15,27,17,10,19,2,90,"3,600",8,7,13,16,0.812
11,04/15/2017,@ Manhattan,W 16 - 6,16,10,26,32,24,11,26,4,210,"3,600",6,13,16,18,0.889
12,04/22/2017,Detroit Mercy,W 7 - 6,7,3,10,29,17,8,16,3,120,"3,600",6,12,21,23,0.913
13,04/29/2017,Siena,W 6 - 5,6,2,8,38,22,8,14,1,30,"3,600",5,11,13,14,0.929
14,05/05/2017,Canisius,W 8 - 5,8,5,13,29,20,11,17,2,120,"3,600",5,17,15,17,0.882
15,05/07/2017,Monmouth,L 8 - 9,8,2,10,26,20,10,21,3,150,"3,600",9,13,12,13,0.923
