,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,EMOG,MDDG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/11/2017,"

@ Navy 
","
W 15 - 12 
","

      
        
          15
        
      
    
","

      
        
          9
        
      
    
","

      
        
          24
        
      
    
","

      
        
          36
        
      
    
","

      
        
          24
        
      
    
","


","


","

      
        
          31
        
      
    
","

      
        
          11
        
      
    
","

      
        
          6
        
      
    
","

      
        
          9
        
      
    
","

      
        
          30
        
      
    
","


","


","

      
        
          3,600
        
      
    
","

      
        
          12
        
      
    
","

      
        
          12
        
      
    
"
1,02/14/2017,"

@ Saint Joseph's 
","
W 16 - 8 
","

      
        
          16
        
      
    
","

      
        
          11
        
      
    
","

      
        
          27
        
      
    
","

      
        
          33
        
      
    
","

      
        
          23
        
      
    
","

      
        
          4
        
      
    
","


","

      
        
          29
        
      
    
","

      
        
          15
        
      
    
","

      
        
          4
        
      
    
","

      
        
          19
        
      
    
","

      
        
          28
        
      
    
","

      
        
          3
        
      
    
","

      
        
          120
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          8
        
      
    
","

      
        
          8
        
      
    
"
2,02/18/2017,"

 High Point 
","
W 19 - 5 
","

      
        
          19
        
      
    
","

      
        
          9
        
      
    
","

      
        
          28
        
      
    
","

      
        
          50
        
      
    
","

      
        
          33
        
      
    
","

      
        
          3
        
      
    
","


","

      
        
          45
        
      
    
","

      
        
          13
        
      
    
","

      
        
          10
        
      
    
","

      
        
          18
        
      
    
","

      
        
          27
        
      
    
","

      
        
          3
        
      
    
","

      
        
          120
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          5
        
      
    
","

      
        
          14
        
      
    
"
3,02/25/2017,"

 Yale 
","
W 12 - 11 
","

      
        
          12
        
      
    
","

      
        
          8
        
      
    
","

      
        
          20
        
      
    
","

      
        
          39
        
      
    
","

      
        
          22
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          24
        
      
    
","

      
        
          11
        
      
    
","

      
        
          6
        
      
    
","

      
        
          15
        
      
    
","

      
        
          27
        
      
    
","

      
        
          2
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          11
        
      
    
","

      
        
          11
        
      
    
"
4,03/04/2017,"

@ Notre Dame 
","
L 4 - 5 
","

      
        
          4
        
      
    
","

      
        
          3
        
      
    
","

      
        
          7
        
      
    
","

      
        
          19
        
      
    
","

      
        
          10
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          26
        
      
    
","


          20/
        

","

      
        
          12
        
      
    
","

      
        
          4
        
      
    
","

      
        
          13
        
      
    
","

      
        
          3
        
      
    
","

      
        
          120
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          5
        
      
    
","

      
        
          13
        
      
    
"
5,03/18/2017,"

 Villanova 
","
L 12 - 13 (1OT)
","

      
        
          12
        
      
    
","

      
        
          2
        
      
    
","

      
        
          14
        
      
    
","

      
        
          47
        
      
    
","

      
        
          19
        
      
    
","


","


","

      
        
          39
        
      
    
","

      
        
          15
        
      
    
","

      
        
          4
        
      
    
","

      
        
          19
        
      
    
","

      
        
          29
        
      
    
","


","


","

      
        
          3,807
        
      
    
","

      
        
          13
        
      
    
","

      
        
          9
        
      
    
"
6,03/25/2017,"

@ North Carolina 
","
W 15 - 7 
","

      
        
          15
        
      
    
","

      
        
          12
        
      
    
","

      
        
          27
        
      
    
","

      
        
          27
        
      
    
","

      
        
          19
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          38
        
      
    
","

      
        
          18
        
      
    
","

      
        
          6
        
      
    
","

      
        
          12
        
      
    
","

      
        
          24
        
      
    
","

      
        
          3
        
      
    
","

      
        
          180
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          7
        
      
    
","

      
        
          13
        
      
    
"
7,04/01/2017,"

 Michigan 
","
W 15 - 8 
","

      
        
          15
        
      
    
","

      
        
          6
        
      
    
","

      
        
          21
        
      
    
","

      
        
          40
        
      
    
","

      
        
          24
        
      
    
","


","


","

      
        
          35
        
      
    
","

      
        
          11
        
      
    
","

      
        
          5
        
      
    
","

      
        
          16
        
      
    
","

      
        
          27
        
      
    
","

      
        
          3
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          8
        
      
    
","

      
        
          13
        
      
    
"
8,04/08/2017,"

 Penn St. 
","
W 15 - 11 
","

      
        
          15
        
      
    
","

      
        
          6
        
      
    
","

      
        
          21
        
      
    
","

      
        
          40
        
      
    
","

      
        
          25
        
      
    
","


","


","

      
        
          34
        
      
    
","

      
        
          12
        
      
    
","

      
        
          9
        
      
    
","

      
        
          20
        
      
    
","

      
        
          30
        
      
    
","

      
        
          1
        
      
    
","

      
        
          60
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          11
        
      
    
","

      
        
          6
        
      
    
"
9,04/12/2017,"

@ Albany (NY) 
","
W 12 - 11 
","

      
        
          12
        
      
    
","

      
        
          5
        
      
    
","

      
        
          17
        
      
    
","

      
        
          33
        
      
    
","

      
        
          20
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          30
        
      
    
","

      
        
          13
        
      
    
","

      
        
          8
        
      
    
","

      
        
          11
        
      
    
","

      
        
          27
        
      
    
","

      
        
          2
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          11
        
      
    
","

      
        
          12
        
      
    
"
10,04/16/2017,"

@ Rutgers 
","
W 13 - 12 (3OT)
","

      
        
          13
        
      
    
","

      
        
          8
        
      
    
","

      
        
          21
        
      
    
","

      
        
          44
        
      
    
","

      
        
          28
        
      
    
","


","


","

      
        
          27
        
      
    
","

      
        
          10
        
      
    
","

      
        
          4
        
      
    
","

      
        
          11
        
      
    
","

      
        
          31
        
      
    
","

      
        
          1
        
      
    
","

      
        
          30
        
      
    
","


          4,265/
        

","

      
        
          12
        
      
    
","

      
        
          16
        
      
    
"
11,04/22/2017,"

@ Ohio St. 
","
L 10 - 11 (1OT)
","

      
        
          10
        
      
    
","

      
        
          4
        
      
    
","

      
        
          14
        
      
    
","

      
        
          32
        
      
    
","

      
        
          20
        
      
    
","


","


","

      
        
          24
        
      
    
","

      
        
          9
        
      
    
","

      
        
          8
        
      
    
","

      
        
          7
        
      
    
","

      
        
          25
        
      
    
","


","


","

      
        
          3,663
        
      
    
","

      
        
          11
        
      
    
","

      
        
          6
        
      
    
"
12,04/29/2017,"

 Johns Hopkins 
","
W 12 - 5 
","

      
        
          12
        
      
    
","

      
        
          7
        
      
    
","

      
        
          19
        
      
    
","

      
        
          37
        
      
    
","

      
        
          21
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          27
        
      
    
","

      
        
          7
        
      
    
","

      
        
          4
        
      
    
","

      
        
          6
        
      
    
","

      
        
          18
        
      
    
","

      
        
          2
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          5
        
      
    
","

      
        
          9
        
      
    
"
13,05/04/2017,"

 Penn St. @ Columbus, Ohio
","
W 8 - 6 
","

      
        
          8
        
      
    
","

      
        
          4
        
      
    
","

      
        
          12
        
      
    
","

      
        
          25
        
      
    
","

      
        
          13
        
      
    
","


","


","

      
        
          21
        
      
    
","

      
        
          11
        
      
    
","

      
        
          4
        
      
    
","

      
        
          9
        
      
    
","

      
        
          18
        
      
    
","

      
        
          4
        
      
    
","

      
        
          180
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          6
        
      
    
","

      
        
          16
        
      
    
"
14,05/06/2017,"

@ Ohio St. 
","
W 10 - 9 
","

      
        
          10
        
      
    
","

      
        
          4
        
      
    
","

      
        
          14
        
      
    
","

      
        
          39
        
      
    
","

      
        
          21
        
      
    
","


","


","

      
        
          24
        
      
    
","

      
        
          7
        
      
    
","

      
        
          5
        
      
    
","

      
        
          10
        
      
    
","

      
        
          23
        
      
    
","

      
        
          1
        
      
    
","

      
        
          30
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          9
        
      
    
","

      
        
          8
        
      
    
"
15,05/14/2017,"

 Bryant 
","
W 13 - 10 
","

      
        
          13
        
      
    
","

      
        
          7
        
      
    
","

      
        
          20
        
      
    
","

      
        
          28
        
      
    
","

      
        
          18
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          25
        
      
    
","

      
        
          13
        
      
    
","

      
        
          4
        
      
    
","

      
        
          13
        
      
    
","

      
        
          25
        
      
    
","

      
        
          3
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          10
        
      
    
","

      
        
          10
        
      
    
"
16,05/21/2017,"

 Albany (NY) @ Newark, Del.
","
W 18 - 9 
","

      
        
          18
        
      
    
","

      
        
          8
        
      
    
","

      
        
          26
        
      
    
","

      
        
          41
        
      
    
","

      
        
          28
        
      
    
","


","


","

      
        
          28
        
      
    
","

      
        
          13
        
      
    
","

      
        
          4
        
      
    
","

      
        
          16
        
      
    
","

      
        
          30
        
      
    
","

      
        
          2
        
      
    
","

      
        
          60
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          9
        
      
    
","

      
        
          11
        
      
    
"
