,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,EMOG,MDDG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/18/2017,"

 Georgetown @ Frisco, Texas
","
W 16 - 10 
","

      
        
          16
        
      
    
","

      
        
          8
        
      
    
","

      
        
          24
        
      
    
","

      
        
          48
        
      
    
","

      
        
          31
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          29
        
      
    
","

      
        
          11
        
      
    
","

      
        
          7
        
      
    
","

      
        
          17
        
      
    
","

      
        
          29
        
      
    
","

      
        
          3
        
      
    
","

      
        
          180
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          10
        
      
    
","

      
        
          6
        
      
    
"
1,02/26/2017,"

 Michigan 
","
W 16 - 5 
","

      
        
          16
        
      
    
","

      
        
          8
        
      
    
","

      
        
          24
        
      
    
","

      
        
          54
        
      
    
","

      
        
          33
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          23
        
      
    
","

      
        
          9
        
      
    
","

      
        
          9
        
      
    
","

      
        
          14
        
      
    
","

      
        
          25
        
      
    
","


","


","

      
        
          3,600
        
      
    
","

      
        
          5
        
      
    
","

      
        
          9
        
      
    
"
2,03/04/2017,"

 Maryland 
","
W 5 - 4 
","

      
        
          5
        
      
    
","

      
        
          1
        
      
    
","

      
        
          6
        
      
    
","

      
        
          31
        
      
    
","

      
        
          18
        
      
    
","


","


","

      
        
          31
        
      
    
","

      
        
          17
        
      
    
","

      
        
          13
        
      
    
","

      
        
          9
        
      
    
","

      
        
          13
        
      
    
","

      
        
          3
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          4
        
      
    
","

      
        
          6
        
      
    
"
3,03/12/2017,"

@ Denver 
","
L 10 - 11 
","

      
        
          10
        
      
    
","

      
        
          8
        
      
    
","

      
        
          18
        
      
    
","

      
        
          32
        
      
    
","

      
        
          19
        
      
    
","

      
        
          3
        
      
    
","


","

      
        
          18
        
      
    
","

      
        
          8
        
      
    
","

      
        
          4
        
      
    
","

      
        
          5
        
      
    
","

      
        
          24
        
      
    
","

      
        
          6
        
      
    
","

      
        
          240
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          11
        
      
    
","

      
        
          13
        
      
    
"
4,03/18/2017,"

@ Virginia 
","
W 11 - 10 (1OT)
","

      
        
          11
        
      
    
","

      
        
          8
        
      
    
","

      
        
          19
        
      
    
","

      
        
          31
        
      
    
","

      
        
          18
        
      
    
","


","


","

      
        
          34
        
      
    
","

      
        
          18
        
      
    
","

      
        
          7
        
      
    
","

      
        
          9
        
      
    
","

      
        
          24
        
      
    
","

      
        
          3
        
      
    
","

      
        
          120
        
      
    
","


          3,754/
        

","

      
        
          10
        
      
    
","

      
        
          14
        
      
    
"
5,03/25/2017,"

 Ohio St. 
","
W 12 - 7 
","

      
        
          12
        
      
    
","

      
        
          6
        
      
    
","

      
        
          18
        
      
    
","

      
        
          44
        
      
    
","

      
        
          21
        
      
    
","

      
        
          3
        
      
    
","


","

      
        
          27
        
      
    
","

      
        
          11
        
      
    
","

      
        
          8
        
      
    
","

      
        
          7
        
      
    
","

      
        
          21
        
      
    
","


","


","

      
        
          3,600
        
      
    
","

      
        
          7
        
      
    
","

      
        
          9
        
      
    
"
6,04/01/2017,"

 Syracuse 
","
L 10 - 11 
","

      
        
          10
        
      
    
","

      
        
          5
        
      
    
","

      
        
          15
        
      
    
","

      
        
          30
        
      
    
","

      
        
          17
        
      
    
","


","


","

      
        
          19
        
      
    
","

      
        
          10
        
      
    
","

      
        
          4
        
      
    
","

      
        
          13
        
      
    
","

      
        
          24
        
      
    
","

      
        
          2
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          11
        
      
    
","

      
        
          11
        
      
    
"
7,04/08/2017,"

@ Duke 
","
L 8 - 11 
","

      
        
          8
        
      
    
","

      
        
          5
        
      
    
","

      
        
          13
        
      
    
","

      
        
          32
        
      
    
","

      
        
          18
        
      
    
","


","


","

      
        
          23
        
      
    
","

      
        
          11
        
      
    
","

      
        
          4
        
      
    
","

      
        
          12
        
      
    
","

      
        
          23
        
      
    
","


","


","

      
        
          3,600
        
      
    
","

      
        
          11
        
      
    
","

      
        
          9
        
      
    
"
8,04/11/2017,"

 Marquette 
","
W 11 - 10 
","

      
        
          11
        
      
    
","

      
        
          5
        
      
    
","

      
        
          16
        
      
    
","

      
        
          26
        
      
    
","

      
        
          19
        
      
    
","


","


","

      
        
          30
        
      
    
","

      
        
          9
        
      
    
","

      
        
          7
        
      
    
","

      
        
          7
        
      
    
","

      
        
          25
        
      
    
","

      
        
          5
        
      
    
","

      
        
          240
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          10
        
      
    
","

      
        
          12
        
      
    
"
9,04/22/2017,"

 North Carolina 
","
W 14 - 13 
","

      
        
          14
        
      
    
","

      
        
          7
        
      
    
","

      
        
          21
        
      
    
","

      
        
          33
        
      
    
","

      
        
          23
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          39
        
      
    
","

      
        
          19
        
      
    
","

      
        
          7
        
      
    
","

      
        
          19
        
      
    
","

      
        
          30
        
      
    
","

      
        
          1
        
      
    
","

      
        
          30
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          13
        
      
    
","

      
        
          7
        
      
    
"
10,04/28/2017,"

@ Duke 
","
W 7 - 6 
","

      
        
          7
        
      
    
","

      
        
          4
        
      
    
","

      
        
          11
        
      
    
","

      
        
          22
        
      
    
","

      
        
          14
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          20
        
      
    
","

      
        
          18
        
      
    
","

      
        
          4
        
      
    
","

      
        
          9
        
      
    
","

      
        
          17
        
      
    
","

      
        
          2
        
      
    
","

      
        
          120
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          6
        
      
    
","

      
        
          10
        
      
    
"
11,04/30/2017,"

 North Carolina @ Durham, N.C.
","
L 10 - 14 
","

      
        
          10
        
      
    
","

      
        
          4
        
      
    
","

      
        
          14
        
      
    
","

      
        
          31
        
      
    
","

      
        
          21
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          37
        
      
    
","

      
        
          13
        
      
    
","

      
        
          9
        
      
    
","

      
        
          14
        
      
    
","

      
        
          28
        
      
    
","

      
        
          5
        
      
    
","

      
        
          180
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          14
        
      
    
","

      
        
          12
        
      
    
"
12,05/06/2017,"

@ Army West Point 
","
L 9 - 10 (1OT)
","

      
        
          9
        
      
    
","

      
        
          2
        
      
    
","

      
        
          11
        
      
    
","

      
        
          30
        
      
    
","

      
        
          18
        
      
    
","


","


","

      
        
          25
        
      
    
","

      
        
          9
        
      
    
","

      
        
          6
        
      
    
","

      
        
          9
        
      
    
","

      
        
          21
        
      
    
","

      
        
          3
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,654
        
      
    
","

      
        
          10
        
      
    
","

      
        
          13
        
      
    
"
13,05/14/2017,"

 Marquette 
","
W 15 - 9 
","

      
        
          15
        
      
    
","

      
        
          6
        
      
    
","

      
        
          21
        
      
    
","

      
        
          35
        
      
    
","

      
        
          23
        
      
    
","


","


","

      
        
          28
        
      
    
","

      
        
          13
        
      
    
","

      
        
          8
        
      
    
","

      
        
          9
        
      
    
","

      
        
          28
        
      
    
","

      
        
          4
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          9
        
      
    
","

      
        
          12
        
      
    
"
14,05/20/2017,"

 Denver @ Hempstead, NY
","
L 4 - 16 
","

      
        
          4
        
      
    
","

      
        
          2
        
      
    
","

      
        
          6
        
      
    
","

      
        
          16
        
      
    
","

      
        
          8
        
      
    
","


","


","

      
        
          12
        
      
    
","

      
        
          11
        
      
    
","

      
        
          11
        
      
    
","

      
        
          2
        
      
    
","

      
        
          23
        
      
    
","

      
        
          4
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          16
        
      
    
","

      
        
          11
        
      
    
"
