,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,EMOG,MDDG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/04/2017,"

@ Lehigh 
","
L 5 - 15 
","

      
        
          5
        
      
    
","

      
        
          4
        
      
    
","

      
        
          9
        
      
    
","

      
        
          20
        
      
    
","

      
        
          13
        
      
    
","


","


","

      
        
          24
        
      
    
","

      
        
          11
        
      
    
","

      
        
          5
        
      
    
","

      
        
          3
        
      
    
","

      
        
          24
        
      
    
","


","


","

      
        
          3,600
        
      
    
","

      
        
          15
        
      
    
","

      
        
          15
        
      
    
"
1,02/18/2017,"

@ Princeton 
","
L 8 - 22 
","

      
        
          8
        
      
    
","

      
        
          3
        
      
    
","

      
        
          11
        
      
    
","

      
        
          28
        
      
    
","

      
        
          19
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          24
        
      
    
","

      
        
          11
        
      
    
","

      
        
          7
        
      
    
","

      
        
          8
        
      
    
","

      
        
          33
        
      
    
","

      
        
          5
        
      
    
","

      
        
          240
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          22
        
      
    
","

      
        
          9
        
      
    
"
2,02/25/2017,"

@ VMI 
","
L 8 - 9 
","

      
        
          8
        
      
    
","

      
        
          3
        
      
    
","

      
        
          11
        
      
    
","

      
        
          26
        
      
    
","

      
        
          15
        
      
    
","


","


","

      
        
          17
        
      
    
","

      
        
          14
        
      
    
","

      
        
          3
        
      
    
","

      
        
          5
        
      
    
","

      
        
          21
        
      
    
","

      
        
          1
        
      
    
","

      
        
          30
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          9
        
      
    
","

      
        
          15
        
      
    
"
3,02/28/2017,"

@ Hofstra 
","
L 4 - 20 
","

      
        
          4
        
      
    
","

      
        
          2
        
      
    
","

      
        
          6
        
      
    
","

      
        
          21
        
      
    
","

      
        
          11
        
      
    
","

      
        
          3
        
      
    
","


","

      
        
          11
        
      
    
","

      
        
          15
        
      
    
","

      
        
          1
        
      
    
","

      
        
          4
        
      
    
","

      
        
          27
        
      
    
","

      
        
          3
        
      
    
","

      
        
          180
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          20
        
      
    
","

      
        
          10
        
      
    
"
4,03/04/2017,"

 Quinnipiac 
","
L 8 - 11 
","

      
        
          8
        
      
    
","

      
        
          2
        
      
    
","

      
        
          10
        
      
    
","

      
        
          26
        
      
    
","

      
        
          14
        
      
    
","

      
        
          3
        
      
    
","


","

      
        
          20
        
      
    
","

      
        
          16
        
      
    
","

      
        
          5
        
      
    
","

      
        
          3
        
      
    
","

      
        
          22
        
      
    
","

      
        
          2
        
      
    
","

      
        
          120
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          11
        
      
    
","

      
        
          10
        
      
    
"
5,03/10/2017,"

 Mercer 
","
L 7 - 10 
","

      
        
          7
        
      
    
","

      
        
          3
        
      
    
","

      
        
          10
        
      
    
","

      
        
          28
        
      
    
","

      
        
          16
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          23
        
      
    
","

      
        
          16
        
      
    
","

      
        
          7
        
      
    
","

      
        
          9
        
      
    
","

      
        
          20
        
      
    
","

      
        
          3
        
      
    
","

      
        
          180
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          10
        
      
    
","

      
        
          14
        
      
    
"
6,03/13/2017,"

@ Army West Point 
","
L 6 - 19 
","

      
        
          6
        
      
    
","

      
        
          2
        
      
    
","

      
        
          8
        
      
    
","

      
        
          14
        
      
    
","

      
        
          8
        
      
    
","


","


","

      
        
          28
        
      
    
","

      
        
          24
        
      
    
","

      
        
          8
        
      
    
","

      
        
          7
        
      
    
","

      
        
          28
        
      
    
","

      
        
          3
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          19
        
      
    
","

      
        
          13
        
      
    
"
7,03/17/2017,"

 Rutgers 
","
L 6 - 10 
","

      
        
          6
        
      
    
","

      
        
          3
        
      
    
","

      
        
          9
        
      
    
","

      
        
          26
        
      
    
","

      
        
          14
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          22
        
      
    
","

      
        
          16
        
      
    
","

      
        
          7
        
      
    
","

      
        
          7
        
      
    
","

      
        
          20
        
      
    
","

      
        
          3
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          10
        
      
    
","

      
        
          11
        
      
    
"
8,03/21/2017,"

@ Fairfield 
","
L 6 - 13 
","

      
        
          6
        
      
    
","

      
        
          2
        
      
    
","

      
        
          8
        
      
    
","

      
        
          29
        
      
    
","

      
        
          14
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          22
        
      
    
","

      
        
          16
        
      
    
","

      
        
          4
        
      
    
","

      
        
          6
        
      
    
","

      
        
          22
        
      
    
","

      
        
          2
        
      
    
","

      
        
          60
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          13
        
      
    
","

      
        
          12
        
      
    
"
9,03/25/2017,"

 Wagner 
","
L 4 - 11 
","

      
        
          4
        
      
    
","

      
        
          2
        
      
    
","

      
        
          6
        
      
    
","

      
        
          21
        
      
    
","

      
        
          10
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          29
        
      
    
","

      
        
          22
        
      
    
","

      
        
          10
        
      
    
","

      
        
          8
        
      
    
","

      
        
          19
        
      
    
","

      
        
          3
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          11
        
      
    
","

      
        
          10
        
      
    
"
