,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/05/2017,Furman,W 12 - 6,12,3,15,38,21,13,22,1,30,"3,600",6,11,18,20,0.900
1,02/11/2017,Detroit Mercy,W 14 - 8,14,7,21,34,25,10,25,5,210,"3,600",8,6,15,19,0.789
2,02/18/2017,Massachusetts,W 8 - 7,8,4,12,39,18,12,19,2,120,"3,600",7,12,16,19,0.842
3,02/25/2017,Jacksonville,W 16 - 8,16,6,22,42,26,17,26,3,120,"3,600",8,8,18,21,0.857
4,03/03/2017,@ Marquette,W 12 - 6,12,6,18,42,30,16,22,2,60,"3,600",6,8,14,14,1.000/
5,03/05/2017,"Bellarmine @ Milwaukee, Wis.",W 14 - 11,14,10,24,34,24,22,28,7,300,"3,600",11,7,8,9,0.889
6,03/11/2017,Cleveland St.,W 12 - 4,12,6,18,37,22,8,18,5,210,"3,600",4,9,21,22,0.955
7,03/15/2017,@ Towson,W 6 - 3,6,1,7,34,17,11,13,3,120,"3,600",3,8,15,15,1.000/
8,03/19/2017,Denver,W 16 - 7,16,14/,30,35,22,11,26,5,180,"3,600",7,11,20,23,0.870
9,03/25/2017,@ Notre Dame,L 7 - 12,7,4,11,30,16,14,21,4,150,"3,600",12,9,16,16,1.000/
10,04/02/2017,@ Penn St.,L 4 - 9,4,1,5,35,17,13,17,4,150,"3,600",9,12,16,18,0.889
11,04/09/2017,Johns Hopkins,W 13 - 9,13,6,19,37,20,19,26,4,210,"3,594",9,7,16,18,0.889
12,04/15/2017,@ Michigan,W 18 - 7,18,13,31,34,24,22,29,6,210,"3,600",7,15,11,14,0.786
13,04/22/2017,Maryland,W 11 - 10 (1OT),11,4,15,28,17,18,25,1,30,"3,663",10,10,16,19,0.842
14,04/29/2017,@ Rutgers,L 11 - 12 (1OT),11,6,17,37,20,14,26,1,30,"3,840",12,11,14,15,0.933
15,05/04/2017,Johns Hopkins,W 15 - 13,15,8,23,30,22,20,31,4,150,"3,600",13,5,13,19,0.684
16,05/06/2017,Maryland,L 9 - 10,9,2,11,31,17,13,23,1,30,"3,600",10,11,13,13,1.000/
17,05/14/2017,Loyola Maryland,W 7 - 4,7,4,11,22,11,8,15,1,60,"3,600",4,12,20,22,0.909
18,05/20/2017,"Duke @ Hempstead, N.Y.",W 16 - 11,16,6,22,31,24,18,30,5,180,"3,600",11,14,13,17,0.765
19,05/27/2017,"Towson @ Foxborough, Mass.",W 11 - 10,11,5,16,35,17,15,25,4,120,"3,600",10,10,10,13,0.769
20,05/29/2017,"Maryland @ Foxboro, Mass.",L 6 - 9,6,1,7,25,17,8,19,2,60,"3,600",9,13,11,15,0.733
