,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/04/2017,Robert Morris,W 15 - 11,15,11,26,39,30,21,30,2,90,"3,600",11,11,14,15,0.933
1,02/11/2017,@ Hobart and William Smith,W 21 - 15,21/,13,34/,42,31,27/,38,2,120,"3,600",15,7,12,13,0.923
2,02/18/2017,Cornell,W 20 - 10,20,13,33,48,34/,25,34,2,60,"3,600",10,9,13,14,0.929
3,02/25/2017,@ Villanova,W 17 - 12,17,12,29,42,27,17,32,5,240,"3,600",12,18/,13,13,1.000/
4,03/04/2017,Penn,W 14 - 13,14,7,21,39,23,12,5,24,31,"3,600",13,6,12,12,1.000/
5,03/07/2017,Furman,W 12 - 10,12,8,20,33,19,17,25,1,60,"3,600",10,8,12,12,1.000/
6,03/11/2017,@ Harvard,W 15 - 12,15,7,22,37,25,23,31,2,120,"3,600",12,15,13,18,0.722
7,03/17/2017,Fairfield,W 9 - 8,9,2,11,37,23,14,4,13,21,"3,600",8,12,10,13,0.769
8,03/25/2017,Cleveland St.,W 15 - 8,15,9,24,47,32,19,26,5,270,"3,600",8,12,12,13,0.923
9,04/02/2017,Ohio St.,W 9 - 4,9,3,12,39,21,4,17,1,60,"3,600",4,13,19,21,0.905
10,04/08/2017,@ Maryland,L 11 - 15,11,5,16,27,17,10,30,1,30,"3,600",15,10,15,17,0.882
11,04/15/2017,@ Johns Hopkins,L 11 - 13,11,9,20,29,18,9,28,2,60,"3,600",13,15,17,18,0.944
12,04/23/2017,Rutgers,W 13 - 7,13,7,20,45,29,16,22,2,90,"3,600",7,9,15,21,0.714
13,04/30/2017,@ Michigan,W 17 - 13,17,11,28,41,29,13,35,5,270,"3,600",13,8,11,15,0.733
14,05/04/2017,"Maryland @ Columbus, Ohio",L 6 - 8,6,3,9,35,22,8,2,9,18,"3,600",8,5,16,17,0.941
15,05/13/2017,Towson,L 8 - 12,8,5,13,23,17,11,24,6,240,"3,600",12,16,11,15,0.733
