,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,EMOG,MDDG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/04/2017,"

 Boston U. 
","
L 7 - 8 (2OT)
","

      
        
          7
        
      
    
","

      
        
          6
        
      
    
","

      
        
          13
        
      
    
","

      
        
          42
        
      
    
","

      
        
          24
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          27
        
      
    
","

      
        
          14
        
      
    
","

      
        
          6
        
      
    
","

      
        
          10
        
      
    
","

      
        
          18
        
      
    
","

      
        
          7
        
      
    
","

      
        
          360
        
      
    
","

      
        
          3,849
        
      
    
","

      
        
          8
        
      
    
","

      
        
          12
        
      
    
"
1,02/11/2017,"

@ Holy Cross 
","
W 10 - 4 
","

      
        
          10
        
      
    
","

      
        
          6
        
      
    
","

      
        
          16
        
      
    
","

      
        
          32
        
      
    
","

      
        
          18
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          35
        
      
    
","

      
        
          22
        
      
    
","

      
        
          10
        
      
    
","

      
        
          16
        
      
    
","

      
        
          19
        
      
    
","

      
        
          5
        
      
    
","

      
        
          240
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          4
        
      
    
","

      
        
          9
        
      
    
"
2,02/18/2017,"

@ Bryant 
","
W 7 - 6 
","

      
        
          7
        
      
    
","

      
        
          5
        
      
    
","

      
        
          12
        
      
    
","

      
        
          30
        
      
    
","

      
        
          18
        
      
    
","


","


","

      
        
          27
        
      
    
","

      
        
          18
        
      
    
","

      
        
          6
        
      
    
","

      
        
          6
        
      
    
","

      
        
          17
        
      
    
","

      
        
          3
        
      
    
","

      
        
          210
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          6
        
      
    
","

      
        
          10
        
      
    
"
3,02/25/2017,"

 Vermont 
","
W 8 - 6 
","

      
        
          8
        
      
    
","

      
        
          6
        
      
    
","

      
        
          14
        
      
    
","

      
        
          39
        
      
    
","

      
        
          17
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          25
        
      
    
","

      
        
          15
        
      
    
","

      
        
          6
        
      
    
","

      
        
          6
        
      
    
","

      
        
          17
        
      
    
","

      
        
          6
        
      
    
","

      
        
          240
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          6
        
      
    
","

      
        
          8
        
      
    
"
4,03/04/2017,"

 Sacred Heart 
","
L 8 - 10 
","

      
        
          8
        
      
    
","

      
        
          3
        
      
    
","

      
        
          11
        
      
    
","

      
        
          42
        
      
    
","

      
        
          25
        
      
    
","


","


","

      
        
          31
        
      
    
","

      
        
          18
        
      
    
","

      
        
          11
        
      
    
","

      
        
          10
        
      
    
","

      
        
          22
        
      
    
","

      
        
          3
        
      
    
","

      
        
          180
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          10
        
      
    
","

      
        
          12
        
      
    
"
5,03/11/2017,"

 High Point 
","
W 17 - 8 
","

      
        
          17
        
      
    
","

      
        
          8
        
      
    
","

      
        
          25
        
      
    
","

      
        
          48
        
      
    
","

      
        
          34
        
      
    
","

      
        
          3
        
      
    
","


          1/
        

","

      
        
          35
        
      
    
","

      
        
          11
        
      
    
","

      
        
          11
        
      
    
","

      
        
          21
        
      
    
","

      
        
          29
        
      
    
","

      
        
          7
        
      
    
","


          390/
        

","

      
        
          3,600
        
      
    
","

      
        
          8
        
      
    
","

      
        
          8
        
      
    
"
6,03/18/2017,"

@ Hofstra 
","
L 10 - 11 
","

      
        
          10
        
      
    
","

      
        
          4
        
      
    
","

      
        
          14
        
      
    
","

      
        
          38
        
      
    
","

      
        
          29
        
      
    
","


","


          1/
        

","

      
        
          22
        
      
    
","

      
        
          7
        
      
    
","

      
        
          3
        
      
    
","

      
        
          13
        
      
    
","

      
        
          24
        
      
    
","

      
        
          6
        
      
    
","

      
        
          360
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          11
        
      
    
","

      
        
          6
        
      
    
"
7,03/21/2017,"

@ UMass Lowell 
","
W 11 - 4 
","

      
        
          11
        
      
    
","

      
        
          7
        
      
    
","

      
        
          18
        
      
    
","

      
        
          42
        
      
    
","

      
        
          20
        
      
    
","


","


","

      
        
          23
        
      
    
","

      
        
          10
        
      
    
","

      
        
          6
        
      
    
","

      
        
          7
        
      
    
","

      
        
          19
        
      
    
","

      
        
          1
        
      
    
","

      
        
          60
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          4
        
      
    
","

      
        
          14
        
      
    
"
8,03/26/2017,"

 Drexel 
","
W 9 - 8 (1OT)
","

      
        
          9
        
      
    
","

      
        
          3
        
      
    
","

      
        
          12
        
      
    
","

      
        
          39
        
      
    
","

      
        
          23
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          33
        
      
    
","

      
        
          13
        
      
    
","


          13/
        

","

      
        
          13
        
      
    
","

      
        
          19
        
      
    
","

      
        
          6
        
      
    
","

      
        
          330
        
      
    
","

      
        
          3,743
        
      
    
","

      
        
          8
        
      
    
","

      
        
          14
        
      
    
"
9,04/01/2017,"

@ St. John's (NY) 
","
W 15 - 6 
","

      
        
          15
        
      
    
","

      
        
          8
        
      
    
","

      
        
          23
        
      
    
","

      
        
          41
        
      
    
","

      
        
          23
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          29
        
      
    
","

      
        
          9
        
      
    
","

      
        
          9
        
      
    
","

      
        
          12
        
      
    
","

      
        
          25
        
      
    
","

      
        
          1
        
      
    
","

      
        
          60
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          6
        
      
    
","

      
        
          9
        
      
    
"
