,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,EMOG,MDDG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/14/2017,"

@ Sacred Heart 
","
W 12 - 11 
","

      
        
          12
        
      
    
","

      
        
          4
        
      
    
","

      
        
          16
        
      
    
","

      
        
          39
        
      
    
","

      
        
          25
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          28
        
      
    
","

      
        
          14
        
      
    
","

      
        
          7
        
      
    
","

      
        
          12
        
      
    
","

      
        
          27
        
      
    
","

      
        
          4
        
      
    
","

      
        
          210
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          11
        
      
    
","

      
        
          11
        
      
    
"
1,02/19/2017,"

@ St. John's (NY) 
","
W 14 - 5 
","

      
        
          14
        
      
    
","

      
        
          13
        
      
    
","

      
        
          27
        
      
    
","

      
        
          35
        
      
    
","

      
        
          22
        
      
    
","


          5/
        

","


","

      
        
          31
        
      
    
","

      
        
          11
        
      
    
","

      
        
          7
        
      
    
","

      
        
          12
        
      
    
","

      
        
          22
        
      
    
","

      
        
          2
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,593
        
      
    
","

      
        
          5
        
      
    
","

      
        
          9
        
      
    
"
2,02/25/2017,"

@ Brown 
","
W 25 - 17 
","


          25/
        

","

      
        
          12
        
      
    
","


          37/
        

","


          66/
        

","


          37/
        

","

      
        
          3
        
      
    
","


","

      
        
          44
        
      
    
","

      
        
          14
        
      
    
","

      
        
          9
        
      
    
","

      
        
          19
        
      
    
","


          45/
        

","

      
        
          2
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          17
        
      
    
","

      
        
          5
        
      
    
"
3,03/04/2017,"

 Fairfield 
","
W 9 - 6 
","

      
        
          9
        
      
    
","

      
        
          5
        
      
    
","

      
        
          14
        
      
    
","

      
        
          24
        
      
    
","

      
        
          16
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          23
        
      
    
","

      
        
          17
        
      
    
","

      
        
          3
        
      
    
","

      
        
          10
        
      
    
","

      
        
          18
        
      
    
","


","


","

      
        
          3,600
        
      
    
","

      
        
          6
        
      
    
","

      
        
          6
        
      
    
"
4,03/10/2017,"

@ Rutgers 
","
L 4 - 17 
","

      
        
          4
        
      
    
","

      
        
          3
        
      
    
","

      
        
          7
        
      
    
","

      
        
          21
        
      
    
","

      
        
          12
        
      
    
","


","


","

      
        
          25
        
      
    
","

      
        
          21
        
      
    
","

      
        
          6
        
      
    
","

      
        
          7
        
      
    
","

      
        
          25
        
      
    
","

      
        
          3
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          17
        
      
    
","

      
        
          13
        
      
    
"
5,03/18/2017,"

 UMBC 
","
L 9 - 12 
","

      
        
          9
        
      
    
","

      
        
          7
        
      
    
","

      
        
          16
        
      
    
","

      
        
          33
        
      
    
","

      
        
          19
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          20
        
      
    
","

      
        
          11
        
      
    
","

      
        
          6
        
      
    
","

      
        
          11
        
      
    
","

      
        
          25
        
      
    
","

      
        
          1
        
      
    
","

      
        
          60
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          12
        
      
    
","

      
        
          6
        
      
    
"
6,03/21/2017,"

@ Hofstra 
","
L 9 - 11 
","

      
        
          9
        
      
    
","

      
        
          6
        
      
    
","

      
        
          15
        
      
    
","

      
        
          37
        
      
    
","

      
        
          26
        
      
    
","

      
        
          3
        
      
    
","


","

      
        
          35
        
      
    
","

      
        
          8
        
      
    
","

      
        
          4
        
      
    
","

      
        
          8
        
      
    
","

      
        
          24
        
      
    
","

      
        
          4
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          11
        
      
    
","

      
        
          10
        
      
    
"
7,03/26/2017,"

@ Hartford 
","
W 13 - 9 
","

      
        
          13
        
      
    
","

      
        
          6
        
      
    
","

      
        
          19
        
      
    
","

      
        
          34
        
      
    
","

      
        
          23
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          28
        
      
    
","

      
        
          10
        
      
    
","

      
        
          4
        
      
    
","

      
        
          12
        
      
    
","

      
        
          25
        
      
    
","

      
        
          2
        
      
    
","

      
        
          60
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          9
        
      
    
","

      
        
          10
        
      
    
"
8,04/01/2017,"

 Albany (NY) 
","
L 11 - 19 
","

      
        
          11
        
      
    
","

      
        
          4
        
      
    
","

      
        
          15
        
      
    
","

      
        
          30
        
      
    
","

      
        
          22
        
      
    
","


","


","

      
        
          16
        
      
    
","

      
        
          10
        
      
    
","

      
        
          8
        
      
    
","

      
        
          7
        
      
    
","

      
        
          33
        
      
    
","

      
        
          2
        
      
    
","

      
        
          120
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          19
        
      
    
","

      
        
          14
        
      
    
"
9,04/08/2017,"

 Princeton 
","
L 11 - 13 
","

      
        
          11
        
      
    
","

      
        
          6
        
      
    
","

      
        
          17
        
      
    
","

      
        
          39
        
      
    
","

      
        
          22
        
      
    
","


","


","

      
        
          20
        
      
    
","

      
        
          12
        
      
    
","

      
        
          3
        
      
    
","

      
        
          14
        
      
    
","

      
        
          28
        
      
    
","

      
        
          3
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          13
        
      
    
","

      
        
          9
        
      
    
"
