,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/11/2017,Siena,W 19 - 6,19,15,34,54,35,20,29,3,150,"3,600",6,10,23,23,1.000/
1,02/18/2017,Albany (NY),W 10 - 9,10,8,18,45,23,15,21,4,210,"3,600",9,9,17,19,0.895
2,02/25/2017,Army West Point,L 13 - 14,13,8,21,31,19,13,30,4,240,"3,600",14,12,13,15,0.867
3,03/05/2017,Virginia,W 14 - 13,14,10,24,47,22,14,31,4,150,"3,600",13,12,16,18,0.889
4,03/11/2017,@ St. John's (NY),W 9 - 8,9,7,16,32,20,13,20,4,270,"3,600",8,9,11,12,0.917
5,03/18/2017,@ Johns Hopkins,W 8 - 7 (1OT),8,6,14,32,18,9,18,5,210,"3,662",7,7,18,18,1.000/
6,03/25/2017,Duke,W 12 - 11 (1OT),12,8,20,33,18,10,26,3,90,"3,640",11,8,18,21,0.857
7,04/01/2017,@ Notre Dame,W 11 - 10,11,8,19,38,22,11,24,2,90,"3,600",10,7,17,20,0.850
8,04/05/2017,@ Hobart and William Smith,W 17 - 11,17,11,28,31,26,17,31,4,180,"3,600",11,17,15,17,0.882
9,04/11/2017,Cornell,W 15 - 8,15,8,23,47,27,20,26,7/,390/,"3,600",8,9,14,17,0.824
10,04/15/2017,@ North Carolina,W 12 - 11 (1OT),12,6,18,41,23,15,25,5,270,"3,678",11,6,13,13,1.000/
11,04/22/2017,Binghamton,W 9 - 8,9,5,14,32,17,8,20,2,60,"3,600",8,9,13,13,1.000/
12,04/28/2017,"North Carolina @ Durham, N.C.",L 15 - 16,15,11,26,41,27,16,34,4,150,"3,600",16,8,16,18,0.889
13,05/06/2017,@ Colgate,W 11 - 9,11,8,19,36,18,16,23,1,60,"3,600",9,9,18,19,0.947
14,05/14/2017,Yale,W 11 - 10,11,6,17,29,16,4,22,4,210,"3,600",10,15,15,15,1.000/
15,05/21/2017,"Towson @ Newark, Del.",L 7 - 10,7,7,14,31,19,10,20,7/,390/,"3,600",10,12,11,12,0.917
