,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/18/2017,@ Villanova,W 16 - 11,16,9,25,30,23,15,31,6,240,"3,600",11,15,15,16,0.938
1,02/25/2017,@ Maryland,L 11 - 12,11,7,18,37,22,12,27,3,150,"3,600",12,10,14,14,1.000/
2,03/05/2017,Bryant,L 6 - 9,6,5,11,32,18,7,19,3,150,"3,600",9,7,15,19,0.789
3,03/07/2017,Massachusetts,L 9 - 11,9,6,15,38,20,10,24,5,210,"3,600",11,7,11,11,1.000/
4,03/11/2017,Fairfield,W 11 - 10 (2OT),11,7,18,39,23,20,25,4,150,"4,006",10,6,10,12,0.833
5,03/18/2017,Cornell,W 17 - 8,17,12,29,38,30,21,31,3,120,"3,600",8,8,18,24,0.750
6,03/24/2017,@ Princeton,W 16 - 13,16,9,25,47,34,26/,33,3,180,"3,600",13,6,14,14,1.000/
7,04/01/2017,@ Penn,W 14 - 12,14,9,23,30,18,17,30,1,30,"3,600",12,14,13,17,0.765
8,04/04/2017,@ St. John's (NY),W 23 - 7,23,13,36,48,33,25,33,2,90,"3,600",7,7,14,18,0.778
9,04/08/2017,Dartmouth,W 13 - 6,13,9,22,47,28,17,22,4,180,"3,600",6,9,14,16,0.875
10,04/15/2017,Brown,W 18 - 12,18,12,30,54,33,17,33,4,180,"3,600",12,15,20,23,0.870
11,04/22/2017,@ Albany (NY),L 12 - 13,12,5,17,40,24,16,29,2,90,"3,600",13,11,16,20,0.800
12,04/29/2017,@ Harvard,L 8 - 9,8,5,13,53,28,14,20,3,120,"3,600",9,12,19,20,0.950
13,05/05/2017,Penn,W 13 - 12 (4OT),13,9,22,48,26,17,31,2,90,"4,384/",12,6,14,14,1.000/
14,05/07/2017,Brown,W 10 - 9,10,7,17,37,20,10,23,1,60,"3,600",9,12,20,20,1.000/
15,05/14/2017,@ Syracuse,L 10 - 11,10,4,14,42,25,18,22,4,240,"3,600",11,5,8,10,0.800
