date,home,away,home-points,away-points
202,Furman,Vermont,12,13
204,Lehigh,NJIT,15,5
204,Manhattan,Bryant,10,17
204,Mercer,Vermont,12,13
204,Providence,BU,7,8
204,Delaware,Bucknell,13,14
204,PSU,RMU,15,11
204,UNC,UMBC,17,6
204,CSU,Michigan,8,13
205,OSU,Furman,12,6
205,Duke,AF,10,11
207,JHU,Navy,15,8
210,Duke,HPU,10,5
211,RMU,Bellarmine,10,8
211,Furman,UNC,3,7
211,MSM,Delaware,5,18
211,Navy,Maryland,12,15
211,OSU,DMU,14,8
211,Villanova,Monmouth,10,12
211,Bucknell,Bryant,9,8
211,Colgate,Marist,8,12
211,Denver,AF,14,6
211,JHU,UMBC,15,5
211,Loyola,Virginia,15,16
211,Manhattan,Wagner,14,13
211,Richmond,Fairfield,15,3
211,St-Johns,Rutgers,8,16
211,UMass,Army,2,9
211,UMass-Lowell,BU,8,18
211,Hobart,PSU,15,21
211,HCU,Providence,4,10
211,Jacksonville,Lehigh,12,13
211,Michigan,Lafayette,17,6
211,Syracuse,Siena,19,6
212,Duke,CSU,22,7
214,HPU,Georgetown,9,3
214,SHU,SBU,11,12
214,St-Josephs,Maryland,8,16
215,DMU,Michigan,10,15
217,Hampton,Roberts-Wesleyan,8,20
217,Wagner,Lafayette,9,8
218,Manhattan,RMU,8,18
218,Bucknell,Fairfield,12,13
218,UMass-Lowell,Harvard,9,14
218,AF,Marist,4,10
218,Binghamton,Colgate,11,8
218,Denver,Duke,14,9
218,Furman,SHU,8,9
218,Jacksonville,Marquette,1,17
218,MSM,Towson,5,13
218,OSU,UMass,8,7
218,PSU,Cornell,20,10
218,Villanova,Yale,11,16
218,Bryant,Providence,6,7
218,Hartford,BU,5,12
218,Hofstra,Monmouth,11,9
218,JHU,Loyola,14,13
218,Richmond,UMBC,10,5
218,Maryland,HPU,19,5
218,UNC,Lehigh,15,8
218,Virginia,Drexel,18,14
218,Vermont,HCU,14,8
218,Georgetown,ND,10,16
218,Hobart,Siena,16,15
218,Rutgers,Army,12,10
218,Princeton,NJIT,22,8
218,St-Josephs,Penn,5,10
218,Syracuse,Albany,10,9
218,Delaware,Navy,5,11
218,DMU,Mercer,8,10
218,CSU,Baldwin-Wallace,9,2
218,Bellarmine,Michigan,5,13
218,Canisius,Dartmouth,13,8
219,CSU,John-Carroll,15,8
219,Brown,Quinnipiac,25,9
219,St-Johns,SBU,5,14
220,Army,VMI,20,5
221,Monmouth,Wagner,10,8
221,MSM,Richmond,7,10
221,HCU,Harvard,9,12
221,Princeton,Marist,10,6
221,Virginia,Siena,20,13
223,DMU,Jacksonville,12,11
225,Villanova,PSU,12,17
225,Richmond,Marquette,9,2
225,RMU,DMU,15,6
225,UMBC,Mercer,15,4
225,Fairfield,Rutgers,3,8
225,Georgetown,Towson,10,11
225,HCU,Lehigh,14,8
225,HPU,St-Johns,15,6
225,Lafayette,Loyola,5,18
225,Navy,BU,7,8
225,OSU,Jacksonville,16,8
225,Syracuse,Army,13,14
225,Delaware,Monmouth,11,10
225,Maryland,Yale,12,11
225,VMI,NJIT,9,8
225,Hobart,Cornell,16,8
225,AF,Canisius,15,10
225,Binghamton,Marist,8,11
225,Brown,SBU,17,25
225,Drexel,Albany,8,19
225,Duke,St-Josephs,16,3
225,Harvard,UMass,11,7
225,Princeton,Hofstra,8,10
225,Providence,Vermont,8,6
225,UMass-Lowell,Siena,18,13
225,UNC,JHU,5,13
225,Penn,Virginia,11,10
225,Denver,CSU,19,6
225,Hampton,UDC,15,19
